,name,team,minutes
464,Joe Worrall,Nott'm Forest,0.0
465,Loïc Mbe Soh,Nott'm Forest,0.0
469,Álvaro Fernández Carreras,Man Utd,0.0
475,Eric Bailly,Man Utd,0.0
476,Victor Lindelöf,Man Utd,90.0
477,Aaron Wan-Bissaka,Man Utd,14.0
478,Tyrell Malacia,Man Utd,0.0
479,Diogo Dalot Teixeira,Man Utd,90.0
481,Harry Maguire,Man Utd,90.0
488,Lisandro Martínez,Man Utd,0.0
489,Raphaël Varane,Man Utd,0.0
490,Brandon Williams,Man Utd,0.0
495,Luke Shaw,Man Utd,75.0
496,Alex Telles,Man Utd,0.0
500,Santiago Bueno,Wolves,0.0
508,Gonzalo Montiel,Nott'm Forest,0.0
509,Owen Dodgson,Burnley,0.0
511,Tyrick Mitchell,Crystal Palace,90.0
516,Hannes Delcroix,Burnley,0.0
518,Nathaniel Clyne,Crystal Palace,0.0
521,Chris Richards,Crystal Palace,0.0
523,Joel Ward,Crystal Palace,90.0
524,Jake O'Brien,Crystal Palace,0.0
527,James Tomkins,Crystal Palace,0.0
531,Marc Guéhi,Crystal Palace,90.0
535,Joseph Johnson,Luton,0.0
538,Jonny Evans,Man Utd,11.0
540,Joachim Andersen,Crystal Palace,90.0
544,Marcos Senesi,Bournemouth,90.0
548,James Hill,Bournemouth,0.0
550,Ryan Fredericks,Bournemouth,0.0
553,Milos Kerkez,Bournemouth,45.0
554,Lloyd Kelly,Bournemouth,45.0
560,Adam Smith,Bournemouth,90.0
564,Chris Mepham,Bournemouth,0.0
571,Illia Zabarnyi,Bournemouth,90.0
574,Femi Seriki,Sheffield Utd,0.0
577,Teden Mengi,Luton,90.0
578,Max Aarons,Bournemouth,0.0
579,Ben Greenwood,Bournemouth,0.0
584,Connor Roberts,Burnley,0.0
585,Bobby Thomas,Burnley,0.0
587,CJ Egan-Riley,Burnley,0.0
595,Jordan Beyer,Burnley,90.0
596,Hjalmar Ekdal,Burnley,0.0
597,Victor da Silva,Burnley,90.0
