index,name,team,points,value
Bryan Mbeumo2023-10-21T14:00:00Z,Bryan Mbeumo,Brentford,5.735442,67
Mohamed Salah2023-10-21T11:30:00Z,Mohamed Salah,Liverpool,5.345704,127
Martin Ødegaard2023-10-21T16:30:00Z,Martin Ødegaard,Arsenal,4.875503,85
Phil Foden2023-10-21T14:00:00Z,Phil Foden,Man City,4.8732634,76
Bukayo Saka2023-10-21T16:30:00Z,Bukayo Saka,Arsenal,4.824832,85
Bruno Borges Fernandes2023-10-21T19:00:00Z,Bruno Borges Fernandes,Man Utd,4.5787363,84
James Maddison2023-10-23T19:00:00Z,James Maddison,Spurs,4.3094244,81
Son Heung-min2023-10-23T19:00:00Z,Son Heung-min,Spurs,4.296598,95
Dejan Kulusevski2023-10-23T19:00:00Z,Dejan Kulusevski,Spurs,4.2892857,70
Miguel Almirón Rejala2023-10-21T14:00:00Z,Miguel Almirón Rejala,Newcastle,4.1181884,64
Bruno Guimarães Rodriguez Moura2023-10-21T14:00:00Z,Bruno Guimarães Rodriguez Moura,Newcastle,4.017475,58
Morgan Gibbs-White2023-10-21T14:00:00Z,Morgan Gibbs-White,Nott'm Forest,3.87775,58
Mathias Jensen2023-10-21T14:00:00Z,Mathias Jensen,Brentford,3.8036642,55
Christian Nørgaard2023-10-21T14:00:00Z,Christian Nørgaard,Brentford,3.7490869,55
Marcus Rashford2023-10-21T19:00:00Z,Marcus Rashford,Man Utd,3.6130369,88
Abdoulaye Doucouré2023-10-21T11:30:00Z,Abdoulaye Doucouré,Everton,3.4931169,55
Dwight McNeil2023-10-21T11:30:00Z,Dwight McNeil,Everton,3.464295,54
John McGinn2023-10-22T15:30:00Z,John McGinn,Aston Villa,3.4166806,55
Kaoru Mitoma2023-10-21T14:00:00Z,Kaoru Mitoma,Brighton,3.305212,65
Dominik Szoboszlai2023-10-21T11:30:00Z,Dominik Szoboszlai,Liverpool,3.2420888,70
Billy Gilmour2023-10-21T14:00:00Z,Billy Gilmour,Brighton,3.1410599,49
James Garner2023-10-21T11:30:00Z,James Garner,Everton,3.1257117,49
Luis Díaz2023-10-21T11:30:00Z,Luis Díaz,Liverpool,3.1065056,75
Moussa Diaby2023-10-22T15:30:00Z,Moussa Diaby,Aston Villa,3.102965,67
Eberechi Eze2023-10-21T14:00:00Z,Eberechi Eze,Crystal Palace,3.0826898,61
Hwang Hee-chan2023-10-21T14:00:00Z,Hwang Hee-chan,Wolves,3.027047,54
Willian Borges da Silva2023-10-23T19:00:00Z,Willian Borges da Silva,Fulham,3.0004418,53
Alexis Mac Allister2023-10-21T11:30:00Z,Alexis Mac Allister,Liverpool,2.804545,59
Jarrod Bowen2023-10-22T15:30:00Z,Jarrod Bowen,West Ham,2.7997727,73
