,name,team,minutes
0,Steven Benda,Fulham,0.0
7,Ederson Santana de Moraes,Man City,90.0
10,Scott Carson,Man City,0.0
21,Stefan Ortega Moreno,Man City,0.0
23,Zack Steffen,Man City,0.0
45,Robin Olsen,Aston Villa,0.0
47,Karl Darlow,Newcastle,0.0
52,Mark Gillespie,Newcastle,0.0
58,Loris Karius,Newcastle,0.0
66,Emiliano Martínez Romero,Aston Villa,90.0
77,Martin Dubravka,Newcastle,4.0
93,Nick Pope,Newcastle,85.0
94,Viljami Sinisalo,Aston Villa,0.0
109,Jason Steele,Brighton,90.0
126,Alisson Ramses Becker,Liverpool,0.0
135,Adrián San Miguel del Castillo,Liverpool,0.0
138,Caoimhin Kelleher,Liverpool,90.0
152,Kjell Scherpen,Brighton,0.0
163,Bart Verbruggen,Brighton,0.0
169,Tom McGill,Brighton,0.0
172,Karl Hein,Arsenal,0.0
181,Rúnar Alex Rúnarsson,Arsenal,0.0
201,Aaron Ramsdale,Arsenal,0.0
202,David Raya Martin,Arsenal,90.0
214,Fraser Forster,Spurs,0.0
218,Brandon Austin,Spurs,0.0
221,Guglielmo Vicario,Spurs,90.0
234,Hugo Lloris,Spurs,0.0
237,Alfie Whiteman,Spurs,0.0
245,Filip Marschall,Aston Villa,0.0
246,Joseph Anang,West Ham,0.0
248,Marcus Bettinelli,Chelsea,0.0
253,Kepa Arrizabalaga,Chelsea,0.0
255,Robert Sánchez,Chelsea,90.0
258,Eddie Beach,Chelsea,0.0
265,Alphonse Areola,West Ham,90.0
272,Lukasz Fabianski,West Ham,0.0
282,Oliwier Zych,Aston Villa,0.0
290,Lucas Bergström,Chelsea,0.0
311,Gabriel Słonina,Chelsea,0.0
319,Thomas Strakosha,Brentford,0.0
334,Matthew Cox,Brentford,0.0
337,Ellery Balcombe,Brentford,0.0
345,Mark Flekken,Brentford,90.0
354,Daniel Bentley,Wolves,67.0
360,José Malheiro de Sá,Wolves,22.0
370,Matija Šarkić,Wolves,0.0
373,Tom King,Wolves,0.0
380,Djordje Petrovic,Chelsea,90.0
392,George Shelvey,Nott'm Forest,0.0
400,Tom Heaton,Man Utd,0.0
415,Wayne Hennessey,Nott'm Forest,0.0
423,Matt Turner,Nott'm Forest,0.0
428,André Onana,Man Utd,90.0
457,Ethan Horvath,Nott'm Forest,0.0
471,Andy Lonergan,Everton,0.0
482,João Neves Virgínia,Everton,0.0
488,Jordan Pickford,Everton,90.0
502,Norberto Murara Neto,Bournemouth,90.0
504,Ionuț Radu,Bournemouth,0.0
524,Mark Travers,Bournemouth,0.0
526,Darren Randolph,Bournemouth,0.0
532,Remi Matthews,Crystal Palace,0.0
537,Sam Johnstone,Crystal Palace,90.0
538,James Shea,Luton,0.0
546,Dean Henderson,Crystal Palace,0.0
557,Vicente Guaita,Crystal Palace,0.0
559,Tim Krul,Luton,0.0
561,Thomas Kaminski,Luton,90.0
564,Jack Walton,Luton,0.0
566,Joe Whitworth,Crystal Palace,0.0
571,Matt Macey,Luton,0.0
608,Bernd Leno,Fulham,90.0
628,Marek Rodák,Fulham,0.0
641,James Trafford,Burnley,90.0
655,Bailey Peacock-Farrell,Burnley,0.0
665,Arijanet Muric,Burnley,0.0
670,Lawrence Vigouroux,Burnley,0.0
674,Wes Foderingham,Sheffield Utd,90.0
675,Adam Davies,Sheffield Utd,0.0
684,Jordan Amissah,Sheffield Utd,0.0
698,Denis Franchi,Burnley,0.0
699,Altay Bayindir,Man Utd,0.0
704,Radek Vítek,Man Utd,0.0
