,name,team,minutes
11,Julián Álvarez,Man City,1
24,Erling Haaland,Man City,0
35,Darwin Núñez Ribeiro,Liverpool,1
51,Cody Gakpo,Liverpool,1
60,Jhon Durán,Aston Villa,0
68,Ollie Watkins,Aston Villa,1
76,Wesley Moraes Ferreira da Silva,Aston Villa,0
91,Keinan Davis,Aston Villa,0
98,Folarin Balogun,Arsenal,0
101,Gabriel Fernando de Jesus,Arsenal,1
120,Eddie Nketiah,Arsenal,0
128,João Pedro Junqueira de Jesus,Brighton,1
138,Evan Ferguson,Brighton,1
176,Aaron Connolly,Brighton,0
179,Andi Zeqiri,Brighton,0
180,Alexander Isak,Newcastle,1
184,Deniz Undav,Brighton,0
186,Danny Welbeck,Brighton,0
188,Callum Wilson,Newcastle,1
192,Harry Kane,Spurs,0
227,Alejo Véliz,Spurs,0
229,Dane Scarlett,Spurs,0
239,Pierre-Emerick Aubameyang,Chelsea,0
243,Mason Burstow,Chelsea,0
246,Romelu Lukaku Bolingoli,Chelsea,0
251,Michail Antonio,West Ham,0
253,Armando Broja,Chelsea,1
256,Nicolas Jackson,Chelsea,1
264,Christopher Nkunku,Chelsea,0
270,David Datro Fofana,Chelsea,0
275,Gianluca Scamacca,West Ham,0
291,Danny Ings,West Ham,0
295,Divin Mubama,West Ham,1
302,Yoane Wissa,Brentford,1
316,Halil Dervişoğlu,Brentford,0
325,Ivan Toney,Brentford,0
339,Youssef Ramalho Chermiti,Everton,0
340,Thomas Cannon,Everton,0
341,Jay Stansfield,Fulham,0
344,Raúl Jiménez,Fulham,1
347,Rodrigo Muniz Carvalho,Fulham,0
350,Aleksandar Mitrović,Fulham,0
359,Carlos Vinícius Alves Morais,Fulham,1
378,Fábio Silva,Wolves,0
384,Matheus Santos Carneiro Da Cunha,Wolves,1
398,Sasa Kalajdzic,Wolves,0
423,Ellis Simms,Everton,0
424,Dominic Calvert-Lewin,Everton,1
427,Jacob Brown,Luton,1
430,Neal Maupay,Brentford,1
434,Rasmus Højlund,Man Utd,1
437,Shola Shoretire,Man Utd,0
441,Aribim Pepple,Luton,0
444,Chiedozie Ogbene,Luton,0
452,John McAtee,Luton,0
455,Joe Taylor,Luton,0
469,Anthony Martial,Man Utd,1
470,Antoine Semenyo,Bournemouth,1
483,Kieffer Moore,Bournemouth,0
497,Elijah Adebayo,Luton,1
498,Dominic Solanke,Bournemouth,1
510,Admiral Muskwe,Luton,0
514,Cauley Woodrow,Luton,0
517,Carlton Morris,Luton,0
530,Zeki Amdouni,Burnley,1
533,Wout Weghorst,Burnley,0
546,Lyle Foster,Burnley,0
549,Jay Rodriguez,Burnley,1
555,Michael Obafemi,Burnley,0
579,Taiwo Awoniyi,Nott'm Forest,0
582,Emmanuel Dennis,Nott'm Forest,0
592,Hwang Ui-jo,Nott'm Forest,0
599,Chris Wood,Nott'm Forest,0
606,Sam Surridge,Nott'm Forest,0
610,Cameron Archer,Sheffield Utd,1
620,Jean-Philippe Mateta,Crystal Palace,1
627,Odsonne Edouard,Crystal Palace,1
629,Luke Plange,Crystal Palace,0
638,John-Kymani Gordon,Crystal Palace,0
645,Louie Marsh,Sheffield Utd,0
648,Antwoine Hackford,Sheffield Utd,0
650,Rhian Brewster,Sheffield Utd,0
652,William Osula,Sheffield Utd,1
655,Bénie Traoré,Sheffield Utd,0
657,Daniel Jebbison,Sheffield Utd,0
658,Iliman Ndiaye,Sheffield Utd,0
661,Oliver McBurnie,Sheffield Utd,0
