,name,team,minutes
1,Javier Manquillo Gaitán,Newcastle,0
2,Dan Burn,Newcastle,1
8,Joël Veltman,Brighton,1
17,Lewis Dunk,Brighton,1
18,Pervis Estupiñán,Brighton,0
20,Igor Julio dos Santos de Paulo,Brighton,1
24,Adam Webster,Brighton,0
27,Jan Paul van Hecke,Brighton,0
30,Michał Karbownik,Brighton,0
34,Tariq Lamptey,Brighton,0
36,Paul Dummett,Newcastle,0
38,Harrison Ashby,Newcastle,0
49,Kieran Trippier,Newcastle,1
53,Fabian Schär,Newcastle,1
54,Jamaal Lascelles,Newcastle,1
55,Jamal Lewis,Newcastle,0
57,Jarell Quansah,Liverpool,0
59,Sven Botman,Newcastle,0
64,Emil Krafth,Newcastle,0
68,Kell Watts,Newcastle,0
71,Matt Targett,Newcastle,0
74,Lucas Digne,Aston Villa,1
75,Calum Chambers,Aston Villa,0
77,Diego Carlos Santos Silva,Aston Villa,0
80,Kortney Hause,Aston Villa,0
85,Matty Cash,Aston Villa,1
90,Alexandre Moreno Lopera,Aston Villa,0
92,Ezri Konsa Ngoyo,Aston Villa,1
94,Pau Torres,Aston Villa,1
96,Tyrone Mings,Aston Villa,0
105,Micky van de Ven,Spurs,1
107,Japhet Tanganga,Spurs,0
109,Joe Gomez,Liverpool,1
112,Nathaniel Phillips,Liverpool,0
118,Trent Alexander-Arnold,Liverpool,1
119,Pedro Porro,Spurs,1
122,Ibrahima Konaté,Liverpool,1
124,Virgil van Dijk,Liverpool,1
127,Djed Spence,Spurs,0
129,Davinson Sánchez,Spurs,0
130,Cristian Romero,Spurs,1
131,Joe Rodon,Spurs,0
133,Joel Matip,Liverpool,1
134,Destiny Udogie,Spurs,1
136,Konstantinos Tsimikas,Liverpool,1
141,Ryan Sessegnon,Spurs,0
143,Ivan Perišić,Spurs,0
144,Andrew Robertson,Liverpool,0
152,Sepp van den Berg,Liverpool,0
154,Emerson Leite de Souza Junior,Spurs,1
157,Eric Dier,Spurs,0
161,Ben Davies,Spurs,0
166,Rúben Gato Alves Dias,Man City,1
168,Alex Murphy,Newcastle,0
169,Tino Livramento,Newcastle,1
171,Rico Lewis,Man City,0
173,João Cancelo,Man City,0
177,Manuel Akanji,Man City,1
179,Nathan Aké,Man City,0
185,Lewis Hall,Newcastle,0
186,Kyle Walker,Man City,1
187,Sergio Gómez,Man City,0
192,John Stones,Man City,1
193,Aymeric Laporte,Man City,0
