index,name,team,points,value
Mohamed Salah2023-09-24T13:00:00Z,Mohamed Salah,Liverpool,6.8306007,125
Bukayo Saka2023-09-24T13:00:00Z,Bukayo Saka,Arsenal,5.6436357,87
Marcus Rashford2023-09-23T19:00:00Z,Marcus Rashford,Man Utd,4.973529,89
Pascal Groß2023-09-24T13:00:00Z,Pascal Groß,Brighton,4.524618,63
Bryan Mbeumo2023-09-23T16:30:00Z,Bryan Mbeumo,Brentford,4.5230513,69
Bruno Borges Fernandes2023-09-23T19:00:00Z,Bruno Borges Fernandes,Man Utd,4.48971,84
Raheem Sterling2023-09-24T13:00:00Z,Raheem Sterling,Chelsea,4.452295,72
Phil Foden2023-09-23T14:00:00Z,Phil Foden,Man City,4.3101425,76
Eberechi Eze2023-09-23T14:00:00Z,Eberechi Eze,Crystal Palace,4.2901225,63
Pedro Lomba Neto2023-09-23T14:00:00Z,Pedro Lomba Neto,Wolves,4.2749248,55
Son Heung-min2023-09-24T13:00:00Z,Son Heung-min,Spurs,4.259778,91
Dominik Szoboszlai2023-09-24T13:00:00Z,Dominik Szoboszlai,Liverpool,4.1834993,70
Diogo Teixeira da Silva2023-09-24T13:00:00Z,Diogo Teixeira da Silva,Liverpool,4.168133,79
Luis Díaz2023-09-24T13:00:00Z,Luis Díaz,Liverpool,3.7651582,76
James Maddison2023-09-24T13:00:00Z,James Maddison,Spurs,3.749277,79
Martin Ødegaard2023-09-24T13:00:00Z,Martin Ødegaard,Arsenal,3.7308455,85
Christian Eriksen2023-09-23T19:00:00Z,Christian Eriksen,Man Utd,3.5074463,59
Mathias Jensen2023-09-23T16:30:00Z,Mathias Jensen,Brentford,3.4713655,54
Kaoru Mitoma2023-09-24T13:00:00Z,Kaoru Mitoma,Brighton,3.3756409,65
Dejan Kulusevski2023-09-24T13:00:00Z,Dejan Kulusevski,Spurs,3.338738,70
Rodrigo Hernandez2023-09-23T14:00:00Z,Rodrigo Hernandez,Man City,3.245342,57
Gabriel Martinelli Silva2023-09-24T13:00:00Z,Gabriel Martinelli Silva,Arsenal,3.1279109,78
Morgan Gibbs-White2023-09-23T14:00:00Z,Morgan Gibbs-White,Nott'm Forest,3.1235259,59
Jarrod Bowen2023-09-24T13:00:00Z,Jarrod Bowen,West Ham,3.1182265,71
Lucas Tolentino Coelho de Lima2023-09-24T13:00:00Z,Lucas Tolentino Coelho de Lima,West Ham,3.0389688,60
Bruno Guimarães Rodriguez Moura2023-09-24T15:30:00Z,Bruno Guimarães Rodriguez Moura,Newcastle,3.0338814,58
Moussa Diaby2023-09-24T13:00:00Z,Moussa Diaby,Aston Villa,3.019277,66
Jack Grealish2023-09-23T14:00:00Z,Jack Grealish,Man City,2.9051585,73
Christian Nørgaard2023-09-23T16:30:00Z,Christian Nørgaard,Brentford,2.8700457,55
Abdoulaye Doucouré2023-09-23T16:30:00Z,Abdoulaye Doucouré,Everton,2.8215413,55
Anthony Gordon2023-09-24T15:30:00Z,Anthony Gordon,Newcastle,2.8181503,55
Cheick Doucouré2023-09-23T14:00:00Z,Cheick Doucouré,Crystal Palace,2.798535,50
Declan Rice2023-09-24T13:00:00Z,Declan Rice,Arsenal,2.7604792,54
Leandro Trossard2023-09-24T13:00:00Z,Leandro Trossard,Arsenal,2.73719,66
Solly March2023-09-24T13:00:00Z,Solly March,Brighton,2.6592495,65
Vitaly Janelt2023-09-23T16:30:00Z,Vitaly Janelt,Brentford,2.6538699,54
Hwang Hee-chan2023-09-23T14:00:00Z,Hwang Hee-chan,Wolves,2.6297581,54
Jeffrey Schlupp2023-09-23T14:00:00Z,Jeffrey Schlupp,Crystal Palace,2.5951347,49
Frank Onyeka2023-09-23T16:30:00Z,Frank Onyeka,Brentford,2.5413573,49
Kevin Schade2023-09-23T16:30:00Z,Kevin Schade,Brentford,2.5304549,54
Carlos Henrique Casimiro2023-09-23T19:00:00Z,Carlos Henrique Casimiro,Man Utd,2.521023,54
Douglas Luiz Soares de Paulo2023-09-24T13:00:00Z,Douglas Luiz Soares de Paulo,Aston Villa,2.5165365,54
Philip Billing2023-09-24T13:00:00Z,Philip Billing,Bournemouth,2.4662564,53
Antony Matheus dos Santos2023-09-23T19:00:00Z,Antony Matheus dos Santos,Man Utd,2.395353,68
Andreas Hoelgebaum Pereira2023-09-23T14:00:00Z,Andreas Hoelgebaum Pereira,Fulham,2.3521266,55
Enzo Fernández2023-09-24T13:00:00Z,Enzo Fernández,Chelsea,2.3000782,50
Mario Lemina2023-09-23T14:00:00Z,Mario Lemina,Wolves,2.3000782,50
João Victor Gomes da Silva2023-09-23T14:00:00Z,João Victor Gomes da Silva,Wolves,2.3000782,49
Arnaut Danjuma Groeneveld2023-09-23T16:30:00Z,Arnaut Danjuma Groeneveld,Everton,2.3000782,55
Bernardo Veiga de Carvalho e Silva2023-09-23T14:00:00Z,Bernardo Veiga de Carvalho e Silva,Man City,2.3000782,64
Richarlison de Andrade2023-09-24T13:00:00Z,Richarlison de Andrade,Spurs,2.2727058,68
Joelinton Cássio Apolinário de Lira2023-09-24T15:30:00Z,Joelinton Cássio Apolinário de Lira,Newcastle,2.2642548,59
Conor Gallagher2023-09-24T13:00:00Z,Conor Gallagher,Chelsea,2.2623088,54
Vini de Souza Costa2023-09-24T15:30:00Z,Vini de Souza Costa,Sheffield Utd,2.2366087,50
John McGinn2023-09-24T13:00:00Z,John McGinn,Aston Villa,2.2054853,55
Manor Solomon2023-09-24T13:00:00Z,Manor Solomon,Spurs,2.204945,53
Marcus Tavernier2023-09-24T13:00:00Z,Marcus Tavernier,Bournemouth,2.1928499,54
Kai Havertz2023-09-24T13:00:00Z,Kai Havertz,Arsenal,2.1919646,72
Harry Wilson2023-09-23T14:00:00Z,Harry Wilson,Fulham,2.1877153,54
Ryan Christie2023-09-24T13:00:00Z,Ryan Christie,Bournemouth,2.162992,50
Alexis Mac Allister2023-09-24T13:00:00Z,Alexis Mac Allister,Liverpool,2.1582787,59
Jordan Ayew2023-09-23T14:00:00Z,Jordan Ayew,Crystal Palace,2.141329,55
Sean Longstaff2023-09-24T15:30:00Z,Sean Longstaff,Newcastle,2.140167,49
Billy Gilmour2023-09-24T13:00:00Z,Billy Gilmour,Brighton,2.1322188,49
Fábio Ferreira Vieira2023-09-24T13:00:00Z,Fábio Ferreira Vieira,Arsenal,2.1146326,54
Harvey Barnes2023-09-24T15:30:00Z,Harvey Barnes,Newcastle,2.10897,64
Jefferson Lerma Solís2023-09-23T14:00:00Z,Jefferson Lerma Solís,Crystal Palace,2.0916767,48
Mykhailo Mudryk2023-09-24T13:00:00Z,Mykhailo Mudryk,Chelsea,2.0856361,63
Miguel Almirón Rejala2023-09-24T15:30:00Z,Miguel Almirón Rejala,Newcastle,2.0701342,63
Harrison Reed2023-09-23T14:00:00Z,Harrison Reed,Fulham,2.043677,48
Leon Bailey2023-09-24T13:00:00Z,Leon Bailey,Aston Villa,2.0360606,55
Mateo Kovačić2023-09-23T14:00:00Z,Mateo Kovačić,Man City,2.0305405,49
Boubacar Kamara2023-09-24T13:00:00Z,Boubacar Kamara,Aston Villa,2.0234816,50
Amadou Onana2023-09-23T16:30:00Z,Amadou Onana,Everton,2.0102723,49
Willian Borges da Silva2023-09-23T14:00:00Z,Willian Borges da Silva,Fulham,1.9846914,53
Dwight McNeil2023-09-23T16:30:00Z,Dwight McNeil,Everton,1.9481256,54
Yves Bissouma2023-09-24T13:00:00Z,Yves Bissouma,Spurs,1.9390235,50
Oliver Norwood2023-09-24T15:30:00Z,Oliver Norwood,Sheffield Utd,1.8937802,49
Pape Matar Sarr2023-09-24T13:00:00Z,Pape Matar Sarr,Spurs,1.8754969,46
Simon Adingra2023-09-24T13:00:00Z,Simon Adingra,Brighton,1.8697445,50
Idrissa Gueye2023-09-23T16:30:00Z,Idrissa Gueye,Everton,1.8555992,49
