index,name,team,points,value
Bukayo Saka2023-08-26T14:00:00Z,Bukayo Saka,Arsenal,4.5058317,86
Bruno Borges Fernandes2023-08-26T14:00:00Z,Bruno Borges Fernandes,Man Utd,4.350149,85
Martin Ødegaard2023-08-26T14:00:00Z,Martin Ødegaard,Arsenal,4.283534,85
Solly March2023-08-26T16:30:00Z,Solly March,Brighton,3.966679,66
Gabriel Martinelli Silva2023-08-26T14:00:00Z,Gabriel Martinelli Silva,Arsenal,3.9562454,80
Bryan Mbeumo2023-08-26T14:00:00Z,Bryan Mbeumo,Brentford,3.9296346,67
Kaoru Mitoma2023-08-26T16:30:00Z,Kaoru Mitoma,Brighton,3.8737998,66
Pascal Groß2023-08-26T16:30:00Z,Pascal Groß,Brighton,3.8434694,64
Marcus Rashford2023-08-26T14:00:00Z,Marcus Rashford,Man Utd,3.7911391,90
Antony Matheus dos Santos2023-08-26T14:00:00Z,Antony Matheus dos Santos,Man Utd,3.6370454,69
Thomas Partey2023-08-26T14:00:00Z,Thomas Partey,Arsenal,3.5880675,50
Moussa Diaby2023-08-27T13:00:00Z,Moussa Diaby,Aston Villa,3.5776105,66
Rodrigo Hernandez2023-08-27T13:00:00Z,Rodrigo Hernandez,Man City,3.5497293,56
Pedro Lomba Neto2023-08-26T14:00:00Z,Pedro Lomba Neto,Wolves,3.5298274,55
Declan Rice2023-08-26T14:00:00Z,Declan Rice,Arsenal,3.4792042,55
Yves Bissouma2023-08-26T11:30:00Z,Yves Bissouma,Spurs,3.414154,50
Mason Mount2023-08-26T14:00:00Z,Mason Mount,Man Utd,3.403686,69
Miguel Almirón Rejala2023-08-27T15:30:00Z,Miguel Almirón Rejala,Newcastle,3.4028845,64
Douglas Luiz Soares de Paulo2023-08-27T13:00:00Z,Douglas Luiz Soares de Paulo,Aston Villa,3.3857284,55
Carlos Henrique Casimiro2023-08-26T14:00:00Z,Carlos Henrique Casimiro,Man Utd,3.3794246,55
Philip Billing2023-08-26T11:30:00Z,Philip Billing,Bournemouth,3.3688858,54
Mathias Jensen2023-08-26T14:00:00Z,Mathias Jensen,Brentford,3.3535063,54
Julio Enciso2023-08-26T16:30:00Z,Julio Enciso,Brighton,3.2802734,54
John McGinn2023-08-27T13:00:00Z,John McGinn,Aston Villa,3.2647395,55
Boubacar Kamara2023-08-27T13:00:00Z,Boubacar Kamara,Aston Villa,3.244833,50
Vitaly Janelt2023-08-26T14:00:00Z,Vitaly Janelt,Brentford,3.2345943,55
Kai Havertz2023-08-26T14:00:00Z,Kai Havertz,Arsenal,3.2177835,74
Hwang Hee-chan2023-08-26T14:00:00Z,Hwang Hee-chan,Wolves,3.1000648,55
Pablo Sarabia2023-08-26T14:00:00Z,Pablo Sarabia,Wolves,3.0366697,50
Mateo Kovačić2023-08-27T13:00:00Z,Mateo Kovačić,Man City,3.0338335,50
Christian Nørgaard2023-08-26T14:00:00Z,Christian Nørgaard,Brentford,2.986123,55
Joe Rothwell2023-08-26T11:30:00Z,Joe Rothwell,Bournemouth,2.9776993,50
Mario Lemina2023-08-26T14:00:00Z,Mario Lemina,Wolves,2.97119,50
Matheus Luiz Nunes2023-08-26T14:00:00Z,Matheus Luiz Nunes,Man City,2.9694142,50
James Milner2023-08-26T16:30:00Z,James Milner,Brighton,2.969283,50
Ryan Christie2023-08-26T11:30:00Z,Ryan Christie,Bournemouth,2.9160197,50
João Victor Gomes da Silva2023-08-26T14:00:00Z,João Victor Gomes da Silva,Wolves,2.765936,50
Alejandro Garnacho2023-08-26T14:00:00Z,Alejandro Garnacho,Man Utd,2.745717,50
Morgan Gibbs-White2023-08-26T14:00:00Z,Morgan Gibbs-White,Nott'm Forest,2.7349973,60
David Brooks2023-08-26T11:30:00Z,David Brooks,Bournemouth,2.6714277,50
Jadon Sancho2023-08-26T14:00:00Z,Jadon Sancho,Man Utd,2.6217682,69
Joelinton Cássio Apolinário de Lira2023-08-27T15:30:00Z,Joelinton Cássio Apolinário de Lira,Newcastle,2.5920475,59
Simon Adingra2023-08-26T16:30:00Z,Simon Adingra,Brighton,2.5686269,50
Jack Grealish2023-08-27T13:00:00Z,Jack Grealish,Man City,2.5448427,74
Billy Gilmour2023-08-26T16:30:00Z,Billy Gilmour,Brighton,2.4893775,50
Anthony Gordon2023-08-27T15:30:00Z,Anthony Gordon,Newcastle,2.4601917,55
Harvey Barnes2023-08-27T15:30:00Z,Harvey Barnes,Newcastle,2.4365597,65
Youri Tielemans2023-08-27T13:00:00Z,Youri Tielemans,Aston Villa,2.432913,59
Josh Cullen2023-09-02T14:00:00Z,Josh Cullen,Burnley,2.370415,50
Bruno Guimarães Rodriguez Moura2023-08-27T15:30:00Z,Bruno Guimarães Rodriguez Moura,Newcastle,2.211958,59
Leon Bailey2023-08-27T13:00:00Z,Leon Bailey,Aston Villa,2.1372073,55
Danilo dos Santos de Oliveira2023-08-26T14:00:00Z,Danilo dos Santos de Oliveira,Nott'm Forest,2.1195617,55
Brennan Johnson2023-08-26T14:00:00Z,Brennan Johnson,Nott'm Forest,1.8519319,60
Anthony Elanga2023-08-26T14:00:00Z,Anthony Elanga,Nott'm Forest,1.8519319,50
Orel Mangala2023-08-26T14:00:00Z,Orel Mangala,Nott'm Forest,1.8519319,50
Vini de Souza Costa2023-08-27T13:00:00Z,Vini de Souza Costa,Sheffield Utd,1.8519319,50
Justin Kluivert2023-08-26T11:30:00Z,Justin Kluivert,Bournemouth,1.8519319,49
Kevin Schade2023-08-26T14:00:00Z,Kevin Schade,Brentford,1.8519319,54
Jaidon Anthony2023-08-26T11:30:00Z,Jaidon Anthony,Bournemouth,1.8519319,50
Ben Osborn2023-08-27T13:00:00Z,Ben Osborn,Sheffield Utd,1.8519319,50
Sander Berge2023-09-02T14:00:00Z,Sander Berge,Burnley,1.8425069,49
Christian Eriksen2023-08-26T14:00:00Z,Christian Eriksen,Man Utd,1.7882886,59
Mikkel Damsgaard2023-08-26T14:00:00Z,Mikkel Damsgaard,Brentford,1.7668846,50
Mahmoud Dahoud2023-08-26T16:30:00Z,Mahmoud Dahoud,Brighton,1.7182158,50
Sandro Tonali2023-08-27T15:30:00Z,Sandro Tonali,Newcastle,1.7135488,55
Philippe Coutinho Correia2023-08-27T13:00:00Z,Philippe Coutinho Correia,Aston Villa,1.6985736,59
Facundo Pellistri Rebollo2023-08-26T14:00:00Z,Facundo Pellistri Rebollo,Man Utd,1.6513977,45
