,name,team,minutes
426,Rhys Norrington-Davies,Sheffield Utd,0
430,Bendegúz Bolla,Wolves,0
432,James Hill,Bournemouth,0
433,Jayden Bogle,Sheffield Utd,0
440,Jack Robinson,Sheffield Utd,1
441,Ryan Fredericks,Bournemouth,0
444,Matt Doherty,Wolves,0
447,Anel Ahmedhodžić,Sheffield Utd,1
448,Chris Basham,Sheffield Utd,1
449,Chris Mepham,Bournemouth,1
451,Toti António Gomes,Wolves,0
452,Yasser Larouci,Sheffield Utd,1
453,Marcos Senesi,Bournemouth,1
459,Milos Kerkez,Bournemouth,1
461,Adam Smith,Bournemouth,0
466,Max Lowe,Sheffield Utd,0
467,Max Kilman,Wolves,1
468,Jonathan Castro Otto,Wolves,0
474,George Baldock,Sheffield Utd,1
476,Ki-Jana Hoever,Wolves,0
481,Hugo Bueno López,Wolves,1
486,Nélson Cabral Semedo,Wolves,1
488,John Egan,Sheffield Utd,1
489,Kenny Tete,Fulham,1
492,Antonee Robinson,Fulham,1
494,Kevin Mbabu,Fulham,0
495,Auston Trusty,Sheffield Utd,0
497,Tosin Adarabioyo,Fulham,0
498,Tyrick Mitchell,Crystal Palace,1
500,Teden Mengi,Luton,0
501,Terence Kongolo,Fulham,0
503,Joel Ward,Crystal Palace,1
504,Joachim Andersen,Crystal Palace,1
506,Alex Murphy,Newcastle,0
513,Tino Livramento,Newcastle,0
515,Tim Ream,Fulham,1
520,Chris Richards,Crystal Palace,0
523,Issa Diop,Fulham,1
524,Marc Guéhi,Crystal Palace,1
528,Ben Greenwood,Bournemouth,0
530,Nathaniel Clyne,Crystal Palace,0
540,Calvin Bassey,Fulham,0
542,Jake O'Brien,Crystal Palace,0
545,James Tomkins,Crystal Palace,0
547,Max Aarons,Bournemouth,1
555,Nathan Patterson,Everton,1
557,Vitalii Mykolenko,Everton,0
559,Michael Keane,Everton,0
560,Mason Holgate,Everton,0
561,Ben Godfrey,Everton,0
565,Jarrad Branthwaite,Everton,1
566,James Tarkowski,Everton,1
567,Ashley Young,Everton,1
569,Seamus Coleman,Everton,0
578,Luc De Fougerolles,Fulham,0
