,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
0,1,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-260,21858,0,260,1,Folarin Balogun,44,FWD,Liverpool,Arsenal,Arsenal
1,2,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,32,44812,1099,1067,2,Cédric Alves Soares,39,DEF,Liverpool,Arsenal,Arsenal
2,3,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-377,9734,148,525,3,Mohamed Elneny,44,MID,Liverpool,Arsenal,Arsenal
3,4,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-211,9540,23,234,4,Fábio Ferreira Vieira,54,MID,Liverpool,Arsenal,Arsenal
4,5,151,Aston Villa,2,False,2023-12-09T17:30:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,18,28.2,14.0,0.0,4.2,1,0.00,0.01,0.01,0.51,49,-43088,1609736,13305,56393,5,Gabriel dos Santos Magalhães,49,DEF,Liverpool,Arsenal,Arsenal
5,6,151,Aston Villa,2,False,2023-12-09T17:30:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,6,8.6,22.3,21.0,5.2,1,0.02,0.27,0.29,0.51,71,5391,172580,8706,3315,6,Kai Havertz,71,MID,Liverpool,Arsenal,Arsenal
6,8,151,Aston Villa,2,False,2023-12-09T17:30:00Z,1,0,16,81,0,0,0,1,0,0,0,0,0,0,0,3,12.2,15.9,27.0,5.5,1,0.04,0.17,0.21,0.42,79,44968,397082,62371,17403,8,Gabriel Fernando de Jesus,79,FWD,Liverpool,Arsenal,Arsenal
7,9,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-363,19237,161,524,9,Jorge Luiz Frello Filho,53,MID,Liverpool,Arsenal,Arsenal
8,10,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-69,9173,148,217,10,Jakub Kiwior,43,DEF,Liverpool,Arsenal,Arsenal
9,11,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-38,4622,0,38,11,Marcus Oliveira Alencar,45,MID,Liverpool,Arsenal,Arsenal
10,12,151,Aston Villa,2,False,2023-12-09T17:30:00Z,1,0,16,69,0,0,0,1,0,0,0,0,0,0,0,1,4.6,16.8,19.0,4.0,1,0.07,0.10,0.17,0.41,78,-19613,706571,21866,41479,12,Gabriel Martinelli Silva,77,MID,Liverpool,Arsenal,Arsenal
11,13,151,Aston Villa,1,False,2023-12-09T17:30:00Z,1,0,16,8,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,4.0,0.2,0,0.05,0.00,0.05,0.09,55,-140303,676157,4688,144991,13,Eddie Nketiah,54,FWD,Liverpool,Arsenal,Arsenal
12,14,151,Aston Villa,2,False,2023-12-09T17:30:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,9,8.6,19.9,26.0,5.5,1,0.38,0.14,0.52,0.51,83,16295,1520776,50180,33885,14,Martin Ødegaard,84,MID,Liverpool,Arsenal,Arsenal
13,15,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-164,16121,10,174,15,Thomas Partey,48,MID,Liverpool,Arsenal,Arsenal
14,16,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-16,4620,0,16,16,Nicolas Pépé,49,MID,Liverpool,Arsenal,Arsenal
15,17,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,46,-30401,714477,2178,32579,17,Aaron Ramsdale,46,GKP,Liverpool,Arsenal,Arsenal
16,18,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-113,8983,0,113,18,Rúnar Alex Rúnarsson,40,GKP,Liverpool,Arsenal,Arsenal
17,19,151,Aston Villa,2,False,2023-12-09T17:30:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,4,19.2,12.4,30.0,6.2,1,0.39,0.09,0.48,0.51,89,86895,6080469,147290,60395,19,Bukayo Saka,90,MID,Liverpool,Arsenal,Arsenal
18,20,151,Aston Villa,2,False,2023-12-09T17:30:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,11,18.8,1.5,8.0,2.8,1,0.36,0.01,0.37,0.51,55,-82721,3663408,41022,123743,20,William Saliba,55,DEF,Liverpool,Arsenal,Arsenal
19,22,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-143,9726,5,148,22,Emile Smith Rowe,53,MID,Liverpool,Arsenal,Arsenal
20,24,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-67,10590,0,67,24,Kieran Tierney,44,DEF,Liverpool,Arsenal,Arsenal
21,25,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-24901,54473,464,25365,25,Takehiro Tomiyasu,45,DEF,Liverpool,Arsenal,Arsenal
22,26,151,Aston Villa,1,False,2023-12-09T17:30:00Z,1,0,16,20,0,0,0,0,0,0,0,0,0,0,0,2,1.2,3.3,4.0,0.9,0,0.00,0.00,0.00,0.11,65,-38210,240350,4824,43034,26,Leandro Trossard,65,MID,Liverpool,Arsenal,Arsenal
23,29,151,Aston Villa,2,False,2023-12-09T17:30:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,10,19.2,2.8,0.0,2.2,1,0.00,0.01,0.01,0.51,56,-22309,1182489,17802,40111,29,Benjamin White,56,DEF,Liverpool,Arsenal,Arsenal
24,30,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,60,-3,996,0,3,30,Granit Xhaka,60,MID,Liverpool,Arsenal,Arsenal
25,31,151,Aston Villa,1,False,2023-12-09T17:30:00Z,1,0,16,90,0,0,0,1,0,0,0,1,0,0,0,13,20.2,21.8,2.0,4.4,1,0.00,0.04,0.04,0.42,52,-13723,1336735,55641,69364,31,Oleksandr Zinchenko,52,DEF,Liverpool,Arsenal,Arsenal
26,113,151,Aston Villa,2,False,2023-12-09T17:30:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,2,0,14,21.4,0.0,0.0,2.1,1,0.00,0.00,0.00,0.51,49,-37932,584832,16222,54154,113,David Raya Martin,49,GKP,Liverpool,Arsenal,Arsenal
27,540,151,Aston Villa,1,False,2023-12-09T17:30:00Z,1,0,16,90,0,0,0,1,0,0,0,1,0,0,0,19,19.0,17.8,2.0,3.9,1,0.07,0.05,0.12,0.51,54,16984,577223,30036,13052,540,Declan Rice,54,MID,Liverpool,Arsenal,Arsenal
