lgbm,lasso,cnn
0.0,0.0,0.0
8.552721457447374,28.957740783691406,4.174779891967773
6.765763190198017,4.327170372009277,1.9140897989273071
4.8160802118767,7.289939403533935,2.138728618621826
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
7.876035790514101,6.064400672912598,2.0037338733673096
4.127626045664473,4.786262512207031,2.0406551361083984
3.7137212790363554,6.079042911529541,1.9572888612747192
0.0,0.0,0.0
0.0,0.0,0.0
4.465756648911586,14.378795623779297,2.1158363819122314
3.529376716721768,12.690566062927246,1.9514104127883911
4.417021690723805,6.575986862182617,2.12454605102539
2.6269001574278468,7.036314010620117,1.4911549091339111
0.0,0.0,0.0
