lgbm,lasso,cnn
0.0,0.0,0.0
4.276360728723687,7.419541358947754,2.1095187664031982
3.3828815950990085,4.112705707550049,0.0
4.8160802118767,8.114108085632324,2.2487714290618896
3.3846687087654796,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
3.695173761357768,4.692755222320557,1.9280411005020144
3.731913586550649,0.0,0.0
0.0,7.40964412689209,2.0270769596099854
0.0,0.0,0.0
0.0,0.0,0.0
3.88034366506156,4.244515895843506,1.980739951133728
4.151618369639834,5.572909832000732,2.0479063987731934
4.465756648911586,6.179500102996826,2.105121374130249
3.529376716721768,3.529376716721768,1.9499506950378416
4.417021690723805,37.77827072143555,2.0804760456085205
2.6269001574278468,3.7463457584381104,1.5631752014160156
0.0,0.0,0.0
