,name,team,minutes
0,Adama Traoré,Fulham,0.0
2,Bernardo Veiga de Carvalho e Silva,Man City,90.0
3,Shea Charles,Man City,0.0
5,Riyad Mahrez,Man City,0.0
6,Kevin De Bruyne,Man City,0.0
8,Phil Foden,Man City,90.0
10,Oscar Bobb,Man City,0.0
16,Jack Grealish,Man City,90.0
17,Máximo Perrone,Man City,0.0
18,Rodrigo Hernandez,Man City,90.0
22,Mateo Kovačić,Man City,82.0
25,Wataru Endo,Liverpool,90.0
26,Kalvin Phillips,Man City,0.0
28,Ben Doak,Liverpool,0.0
30,Bobby Clark,Liverpool,0.0
31,James McConnell,Liverpool,0.0
33,Omari Kellyman,Aston Villa,0.0
34,Dominik Szoboszlai,Liverpool,73.0
38,Stefan Bajcetic,Liverpool,0.0
39,Luis Díaz,Liverpool,90.0
40,Harvey Elliott,Liverpool,16.0
44,Jordan Henderson,Liverpool,0.0
45,Mohamed Salah,Liverpool,90.0
49,Diogo Teixeira da Silva,Liverpool,0.0
50,Thiago Alcántara do Nascimento,Liverpool,0.0
52,Curtis Jones,Liverpool,17.0
56,Alexis Mac Allister,Liverpool,0.0
57,Fabio Henrique Tavares,Liverpool,0.0
62,Bertrand Traoré,Aston Villa,0.0
63,Leon Bailey,Aston Villa,45.0
64,Douglas Luiz Soares de Paulo,Aston Villa,90.0
65,Boubacar Kamara,Aston Villa,66.0
66,Leander Dendoncker,Aston Villa,24.0
67,John McGinn,Aston Villa,90.0
69,Tim Iroegbunam,Aston Villa,0.0
70,Youri Tielemans,Aston Villa,55.0
72,Emiliano Buendía Stati,Aston Villa,0.0
77,Philippe Coutinho Correia,Aston Villa,0.0
82,Moussa Diaby,Aston Villa,45.0
83,Morgan Sanson,Aston Villa,0.0
84,Jacob Ramsey,Aston Villa,34.0
85,Jaden Philogene-Bidace,Aston Villa,0.0
94,Jorge Luiz Frello Filho,Arsenal,0.0
95,Emile Smith Rowe,Arsenal,0.0
97,Declan Rice,Arsenal,90.0
99,Fábio Ferreira Vieira,Arsenal,0.0
102,Gabriel Martinelli Silva,Arsenal,69.0
104,Granit Xhaka,Arsenal,0.0
106,Leandro Trossard,Arsenal,20.0
107,Mohamed Elneny,Arsenal,0.0
111,Thomas Partey,Arsenal,0.0
114,Reiss Nelson,Arsenal,1.0
116,Nicolas Pépé,Arsenal,0.0
117,Kai Havertz,Arsenal,90.0
118,Martin Ødegaard,Arsenal,90.0
119,Marcus Oliveira Alencar,Arsenal,0.0
122,Bukayo Saka,Arsenal,90.0
123,Joe Willock,Newcastle,0.0
124,Solly March,Brighton,0.0
125,Garang Kuol,Newcastle,0.0
129,Ryan Fraser,Newcastle,0.0
131,Sandro Tonali,Newcastle,0.0
132,Sean Longstaff,Newcastle,26.0
133,Simon Adingra,Brighton,90.0
134,Facundo Buonanotte,Brighton,5.0
137,Steven Alzate,Brighton,0.0
141,Julio Enciso,Brighton,0.0
145,Elliot Anderson,Newcastle,0.0
146,Yasin Ayari,Brighton,0.0
147,Kaoru Mitoma,Brighton,45.0
148,Pascal Groß,Brighton,90.0
149,Harvey Barnes,Newcastle,0.0
153,Jeremy Sarmiento Morante,Brighton,0.0
154,Jeff Hendrick,Newcastle,0.0
155,Mahmoud Dahoud,Brighton,45.0
156,Joelinton Cássio Apolinário de Lira,Newcastle,90.0
160,James Milner,Brighton,58.0
164,Jakub Moder,Brighton,0.0
165,Matheus Luiz Nunes,Man City,7.0
166,Matt Ritchie,Newcastle,16.0
169,Miguel Almirón Rejala,Newcastle,63.0
171,Jacob Murphy,Newcastle,0.0
173,Isaac Hayden,Newcastle,0.0
175,Kacper Kozłowski,Brighton,0.0
177,Anthony Gordon,Newcastle,73.0
181,Billy Gilmour,Brighton,45.0
183,Adam Lallana,Brighton,45.0
185,Allan Saint-Maximin,Newcastle,0.0
187,Bruno Guimarães Rodriguez Moura,Newcastle,90.0
189,Jack Hinshelwood,Brighton,31.0
196,Yves Bissouma,Spurs,85.0
198,Moisés Caicedo Corozo,Chelsea,90.0
199,Rodrigo Bentancur,Spurs,0.0
