,name,team,minutes
2,Omari Kellyman,Aston Villa,0
5,Anthony Gordon,Newcastle,1
7,Joe Willock,Newcastle,1
8,Joelinton Cássio Apolinário de Lira,Newcastle,1
9,Allan Saint-Maximin,Newcastle,0
13,Isaac Hayden,Newcastle,0
14,Sean Longstaff,Newcastle,1
15,Garang Kuol,Newcastle,0
16,Sandro Tonali,Newcastle,0
18,Ryan Fraser,Newcastle,0
22,Elliot Anderson,Newcastle,0
24,Harvey Barnes,Newcastle,0
26,Jacob Murphy,Newcastle,0
27,Matt Ritchie,Newcastle,0
28,Miguel Almirón Rejala,Newcastle,1
30,Jeff Hendrick,Newcastle,0
34,Bruno Guimarães Rodriguez Moura,Newcastle,1
38,Boubacar Kamara,Aston Villa,1
41,Philippe Coutinho Correia,Aston Villa,0
43,Morgan Sanson,Aston Villa,0
44,Moussa Diaby,Aston Villa,1
45,Leander Dendoncker,Aston Villa,0
46,Douglas Luiz Soares de Paulo,Aston Villa,1
47,Leon Bailey,Aston Villa,1
49,Bertrand Traoré,Aston Villa,0
51,Emiliano Buendía Stati,Aston Villa,0
53,Youri Tielemans,Aston Villa,1
54,Jacob Ramsey,Aston Villa,0
56,Jaden Philogene-Bidace,Aston Villa,0
59,Tim Iroegbunam,Aston Villa,0
61,John McGinn,Aston Villa,1
68,Kaoru Mitoma,Brighton,1
70,Kacper Kozłowski,Brighton,0
71,Jakub Moder,Brighton,0
72,James Milner,Brighton,0
76,Mahmoud Dahoud,Brighton,1
77,Julio Enciso,Brighton,0
78,Jeremy Sarmiento Morante,Brighton,0
83,Solly March,Brighton,0
86,Yasin Ayari,Brighton,0
87,Adam Lallana,Brighton,1
91,Steven Alzate,Brighton,0
92,Billy Gilmour,Brighton,1
93,Simon Adingra,Brighton,1
95,Facundo Buonanotte,Brighton,1
97,Pascal Groß,Brighton,1
99,Bobby Clark,Liverpool,0
101,Ben Doak,Liverpool,0
102,James McConnell,Liverpool,0
105,Lewis Miley,Newcastle,0
110,Alexis Mac Allister,Liverpool,1
111,Tanguy Ndombélé Alvaro,Spurs,0
115,Thiago Alcántara do Nascimento,Liverpool,0
116,Curtis Jones,Liverpool,0
117,Mohamed Salah,Liverpool,1
120,James Maddison,Spurs,1
123,Harvey Elliott,Liverpool,1
126,Dominik Szoboszlai,Liverpool,1
128,Dejan Kulusevski,Spurs,1
129,Jack Hinshelwood,Brighton,0
131,Oliver Skipp,Spurs,0
135,Pape Matar Sarr,Spurs,1
136,Luis Díaz,Liverpool,0
140,Giovani Lo Celso,Spurs,0
141,Richarlison de Andrade,Spurs,1
143,Diogo Teixeira da Silva,Liverpool,1
145,Fabio Henrique Tavares,Liverpool,0
148,Manor Solomon,Spurs,0
150,Son Heung-min,Spurs,1
151,Stefan Bajcetic,Liverpool,0
153,Jordan Henderson,Liverpool,0
160,Bryan Gil Salvatierra,Spurs,1
161,Rodrigo Bentancur,Spurs,1
162,Yves Bissouma,Spurs,1
164,Pierre-Emile Højbjerg,Spurs,1
168,Oscar Bobb,Man City,0
169,Riyad Mahrez,Man City,0
171,Phil Foden,Man City,1
176,Shea Charles,Man City,0
