,name,team,minutes
324,Shandon Baptiste,Brentford,68.0
325,Mads Bidstrup,Brentford,0.0
328,Vitaly Janelt,Brentford,90.0
332,Christian Nørgaard,Brentford,0.0
336,Yegor Yarmoliuk,Brentford,45.0
338,Nicolò Zaniolo,Aston Villa,9.0
341,Jérémy Doku,Man City,0.0
343,Michael Olakigbe,Brentford,0.0
344,Daniel Castelo Podence,Wolves,0.0
348,Luke Cundle,Wolves,0.0
349,Bruno Cavaco Jordão,Wolves,0.0
354,João Victor Gomes da Silva,Wolves,90.0
356,Mario Lemina,Wolves,90.0
357,Boubacar Traoré,Wolves,3.0
358,Pedro Lomba Neto,Wolves,0.0
361,Joe Hodge,Wolves,0.0
362,Gonçalo Manuel Ganchinho Guedes,Wolves,0.0
366,Francisco Jorge Tomás Oliveira,Wolves,0.0
370,Pablo Sarabia,Wolves,78.0
372,Hwang Hee-chan,Wolves,90.0
373,Enock Agyei,Burnley,0.0
378,Manuel Benson Hedilazio,Burnley,0.0
379,Dara Costelloe,Burnley,0.0
380,Jacob Bruun Larsen,Burnley,69.0
382,Scott Twine,Burnley,0.0
383,Sander Berge,Burnley,90.0
384,Luca Koleosho,Burnley,35.0
390,Darko Churlinov,Burnley,0.0
391,Nathan Redmond,Burnley,1.0
392,Anass Zaroury,Burnley,0.0
398,Josh Brownhill,Burnley,90.0
399,Josh Cullen,Burnley,0.0
402,Jack Cork,Burnley,0.0
403,Jóhann Berg Gudmundsson,Burnley,54.0
405,Samuel Bastien,Burnley,0.0
407,Albert Sambi Lokonga,Luton,0.0
410,Daniel Gore,Man Utd,0.0
412,Diego Manuel Jadon da Silva Moreira,Chelsea,0.0
413,Lewis Dobbin,Everton,0.0
415,Tyler Onyango,Everton,0.0
418,James McAtee,Sheffield Utd,90.0
427,Amadou Onana,Everton,0.0
428,André Tavares Gomes,Everton,0.0
430,Omari Forson,Man Utd,0.0
431,Arnaut Danjuma Groeneveld,Everton,0.0
436,Demarai Gray,Everton,0.0
440,James Garner,Everton,0.0
441,Abdoulaye Doucouré,Everton,90.0
443,Dele Alli,Everton,0.0
444,Dwight McNeil,Everton,90.0
446,Jean-Philippe Gbamin,Everton,0.0
447,Idrissa Gueye,Everton,90.0
450,Alex Scott,Bournemouth,0.0
457,Cheikhou Kouyaté,Nott'm Forest,0.0
458,David Brooks,Bournemouth,0.0
460,Antony Matheus dos Santos,Man Utd,90.0
464,Ryan Christie,Bournemouth,90.0
465,Joe Rothwell,Bournemouth,0.0
473,Remo Freuler,Nott'm Forest,0.0
475,Danilo dos Santos de Oliveira,Nott'm Forest,32.0
476,Emiliano Marcondes,Bournemouth,0.0
478,Andrey Nascimento dos Santos,Nott'm Forest,0.0
479,Philip Billing,Bournemouth,28.0
484,Christian Eriksen,Man Utd,0.0
485,Jadon Sancho,Man Utd,0.0
487,Jaidon Anthony,Bournemouth,0.0
490,Jamal Lowe,Bournemouth,0.0
491,Orel Mangala,Nott'm Forest,90.0
492,Anthony Elanga,Nott'm Forest,90.0
499,Dango Ouattara,Bournemouth,11.0
501,Marcus Rashford,Man Utd,6.0
502,Mason Mount,Man Utd,0.0
503,Donny van de Beek,Man Utd,0.0
504,Kobbie Mainoo,Man Utd,0.0
506,Gustavo Henrique Furtado Scarpa,Nott'm Forest,0.0
507,Alex Mighten,Nott'm Forest,0.0
509,Lewis Cook,Bournemouth,90.0
510,Ben Pearson,Bournemouth,0.0
512,Marcus Tavernier,Bournemouth,28.0
514,Amad Diallo,Man Utd,0.0
