index,name,team,points,value
Mohamed Salah2023-12-23T17:30:00Z,Mohamed Salah,Liverpool,5.8910723,132
Son Heung-min2023-12-23T15:00:00Z,Son Heung-min,Spurs,5.4275303,98
Dejan Kulusevski2023-12-23T15:00:00Z,Dejan Kulusevski,Spurs,4.4634724,71
Pascal Groß2023-12-21T20:00:00Z,Pascal Groß,Brighton,4.0237713,64
Martin Ødegaard2023-12-23T17:30:00Z,Martin Ødegaard,Arsenal,3.993145,84
Bukayo Saka2023-12-23T17:30:00Z,Bukayo Saka,Arsenal,3.9160452,90
Bruno Borges Fernandes2023-12-23T12:30:00Z,Bruno Borges Fernandes,Man Utd,3.8689709,82
Jarrod Bowen2023-12-23T12:30:00Z,Jarrod Bowen,West Ham,3.6933856,77
Antony Matheus dos Santos2023-12-23T12:30:00Z,Antony Matheus dos Santos,Man Utd,3.6449237,68
Bruno Guimarães Rodriguez Moura2023-12-23T15:00:00Z,Bruno Guimarães Rodriguez Moura,Newcastle,3.5928836,58
Anthony Gordon2023-12-23T15:00:00Z,Anthony Gordon,Newcastle,3.5356703,62
Phil Foden2023-12-27T20:15:00Z,Phil Foden,Man City,3.4679909,76
Michael Olise2023-12-21T20:00:00Z,Michael Olise,Crystal Palace,3.4481878,58
Lucas Tolentino Coelho de Lima2023-12-23T12:30:00Z,Lucas Tolentino Coelho de Lima,West Ham,3.4382558,60
John McGinn2023-12-22T20:00:00Z,John McGinn,Aston Villa,3.43574,55
Kai Havertz2023-12-23T17:30:00Z,Kai Havertz,Arsenal,3.4345841,71
Jack Grealish2023-12-27T20:15:00Z,Jack Grealish,Man City,3.4061675,72
Dwight McNeil2023-12-23T15:00:00Z,Dwight McNeil,Everton,3.3998594,54
James Ward-Prowse2023-12-23T12:30:00Z,James Ward-Prowse,West Ham,3.3902216,61
Bernardo Veiga de Carvalho e Silva2023-12-27T20:15:00Z,Bernardo Veiga de Carvalho e Silva,Man City,3.3881278,64
Andreas Hoelgebaum Pereira2023-12-23T15:00:00Z,Andreas Hoelgebaum Pereira,Fulham,3.3667727,53
Alex Iwobi2023-12-23T15:00:00Z,Alex Iwobi,Fulham,3.3412113,53
Raheem Sterling2023-12-24T13:00:00Z,Raheem Sterling,Chelsea,3.2871485,71
Miguel Almirón Rejala2023-12-23T15:00:00Z,Miguel Almirón Rejala,Newcastle,3.2867427,62
Gabriel Martinelli Silva2023-12-23T17:30:00Z,Gabriel Martinelli Silva,Arsenal,3.2831059,77
Richarlison de Andrade2023-12-23T15:00:00Z,Richarlison de Andrade,Spurs,3.249443,67
Cole Palmer2023-12-24T13:00:00Z,Cole Palmer,Chelsea,3.2407808,56
Pablo Sarabia2023-12-24T13:00:00Z,Pablo Sarabia,Wolves,3.1566067,47
Luis Díaz2023-12-23T17:30:00Z,Luis Díaz,Liverpool,3.101492,74
Willian Borges da Silva2023-12-23T15:00:00Z,Willian Borges da Silva,Fulham,3.087648,53
Leon Bailey2023-12-22T20:00:00Z,Leon Bailey,Aston Villa,3.0804958,56
Hwang Hee-chan2023-12-24T13:00:00Z,Hwang Hee-chan,Wolves,3.0742044,58
Harry Wilson2023-12-23T15:00:00Z,Harry Wilson,Fulham,3.0008621,53
