index,name,team,points,value
Son Heung-min2023-11-26T14:00:00Z,Son Heung-min,Spurs,5.0290704,97
Mohamed Salah2023-11-25T12:30:00Z,Mohamed Salah,Liverpool,5.004199,130
Bruno Borges Fernandes2023-11-26T16:30:00Z,Bruno Borges Fernandes,Man Utd,4.6243305,83
Bryan Mbeumo2023-11-25T17:30:00Z,Bryan Mbeumo,Brentford,4.621656,69
Joelinton Cássio Apolinário de Lira2023-11-25T15:00:00Z,Joelinton Cássio Apolinário de Lira,Newcastle,4.294205,58
Pascal Groß2023-11-25T15:00:00Z,Pascal Groß,Brighton,4.0365734,63
James Ward-Prowse2023-12-03T14:00:00Z,James Ward-Prowse,West Ham,4.013197,62
Raheem Sterling2023-11-25T15:00:00Z,Raheem Sterling,Chelsea,3.9493494,69
Phil Foden2023-11-25T12:30:00Z,Phil Foden,Man City,3.9080462,75
Bernardo Veiga de Carvalho e Silva2023-11-25T12:30:00Z,Bernardo Veiga de Carvalho e Silva,Man City,3.9054275,64
Andreas Hoelgebaum Pereira2023-11-27T20:00:00Z,Andreas Hoelgebaum Pereira,Fulham,3.8741808,53
Dejan Kulusevski2023-11-26T14:00:00Z,Dejan Kulusevski,Spurs,3.8390427,70
Bukayo Saka2023-11-25T17:30:00Z,Bukayo Saka,Arsenal,3.8304791,87
Christian Nørgaard2023-11-25T17:30:00Z,Christian Nørgaard,Brentford,3.7573419,54
Anthony Gordon2023-11-25T15:00:00Z,Anthony Gordon,Newcastle,3.7295856,58
Dwight McNeil2023-11-26T16:30:00Z,Dwight McNeil,Everton,3.7013497,54
Rodrigo Hernandez2023-11-25T12:30:00Z,Rodrigo Hernandez,Man City,3.6968942,56
Jarrod Bowen2023-11-25T15:00:00Z,Jarrod Bowen,West Ham,3.6761618,77
James Maddison2023-11-26T14:00:00Z,James Maddison,Spurs,3.6572857,79
Conor Gallagher2023-11-25T15:00:00Z,Conor Gallagher,Chelsea,3.6209364,54
Hwang Hee-chan2023-11-27T20:00:00Z,Hwang Hee-chan,Wolves,3.5793214,55
Morgan Gibbs-White2023-11-25T15:00:00Z,Morgan Gibbs-White,Nott'm Forest,3.5578268,57
Gabriel Martinelli Silva2023-11-25T17:30:00Z,Gabriel Martinelli Silva,Arsenal,3.5377793,78
Mathias Jensen2023-11-25T17:30:00Z,Mathias Jensen,Brentford,3.5368357,54
Douglas Luiz Soares de Paulo2023-11-26T14:00:00Z,Douglas Luiz Soares de Paulo,Aston Villa,3.4545956,56
Cole Palmer2023-11-25T15:00:00Z,Cole Palmer,Chelsea,3.446735,52
Ryan Christie2023-11-25T15:00:00Z,Ryan Christie,Bournemouth,3.446038,50
Diogo Teixeira da Silva2023-11-25T12:30:00Z,Diogo Teixeira da Silva,Liverpool,3.4126368,77
Alex Iwobi2023-11-27T20:00:00Z,Alex Iwobi,Fulham,3.3980143,53
Moussa Diaby2023-11-26T14:00:00Z,Moussa Diaby,Aston Villa,3.375152,68
John McGinn2023-11-26T14:00:00Z,John McGinn,Aston Villa,3.3364985,55
Miguel Almirón Rejala2023-11-25T15:00:00Z,Miguel Almirón Rejala,Newcastle,3.3318849,62
João Palhinha Gonçalves2023-11-27T20:00:00Z,João Palhinha Gonçalves,Fulham,3.3212104,50
Jack Harrison2023-12-02T17:30:00Z,Jack Harrison,Everton,3.2879496,55
Brennan Johnson2023-11-26T14:00:00Z,Brennan Johnson,Spurs,3.2819872,58
Willian Borges da Silva2023-11-27T20:00:00Z,Willian Borges da Silva,Fulham,3.2756042,53
Anthony Elanga2023-11-25T15:00:00Z,Anthony Elanga,Nott'm Forest,3.2684364,50
Jérémy Doku2023-12-06T20:15:00Z,Jérémy Doku,Man City,3.150382,68
Jack Grealish2023-11-25T12:30:00Z,Jack Grealish,Man City,3.1296496,72
Bruno Guimarães Rodriguez Moura2023-11-25T15:00:00Z,Bruno Guimarães Rodriguez Moura,Newcastle,3.105492,58
Marcus Tavernier2023-11-25T15:00:00Z,Marcus Tavernier,Bournemouth,3.1034467,54
Vitaly Janelt2023-11-25T17:30:00Z,Vitaly Janelt,Brentford,3.062014,53
Abdoulaye Doucouré2023-11-26T16:30:00Z,Abdoulaye Doucouré,Everton,3.0361445,55
Kaoru Mitoma2023-11-25T15:00:00Z,Kaoru Mitoma,Brighton,3.0179276,66
Mario Lemina2023-11-27T20:00:00Z,Mario Lemina,Wolves,2.9928527,49
Jordan Ayew2023-11-25T15:00:00Z,Jordan Ayew,Crystal Palace,2.9538856,54
Harry Wilson2023-11-27T20:00:00Z,Harry Wilson,Fulham,2.9356246,53
Leon Bailey2023-11-26T14:00:00Z,Leon Bailey,Aston Villa,2.9340105,55
Orel Mangala2023-11-25T15:00:00Z,Orel Mangala,Nott'm Forest,2.8994741,50
Sean Longstaff2023-11-25T15:00:00Z,Sean Longstaff,Newcastle,2.8986042,49
Luis Sinisterra2023-12-16T15:00:00Z,Luis Sinisterra,Bournemouth,2.8857899,55
Leandro Trossard2023-11-25T17:30:00Z,Leandro Trossard,Arsenal,2.8654218,65
Dominik Szoboszlai2023-11-25T12:30:00Z,Dominik Szoboszlai,Liverpool,2.826884,71
Mohammed Kudus2023-12-10T14:00:00Z,Mohammed Kudus,West Ham,2.806754,67
Marcus Rashford2023-11-26T16:30:00Z,Marcus Rashford,Man Utd,2.7434838,86
Eberechi Eze2023-11-25T15:00:00Z,Eberechi Eze,Crystal Palace,2.691246,62
Will Hughes2023-11-25T15:00:00Z,Will Hughes,Crystal Palace,2.606361,49
Declan Rice2023-11-25T17:30:00Z,Declan Rice,Arsenal,2.6041813,54
Pierre-Emile Højbjerg2023-11-26T14:00:00Z,Pierre-Emile Højbjerg,Spurs,2.5984073,52
Pedro Lomba Neto2023-11-27T20:00:00Z,Pedro Lomba Neto,Wolves,2.5982044,56
Philip Billing2023-11-25T15:00:00Z,Philip Billing,Bournemouth,2.5492458,52
Joe Willock2023-11-25T15:00:00Z,Joe Willock,Newcastle,2.5424004,53
Mason Mount2023-11-26T16:30:00Z,Mason Mount,Man Utd,2.5196428,68
Scott McTominay2023-11-26T16:30:00Z,Scott McTominay,Man Utd,2.5112019,48
Christian Eriksen2023-11-26T16:30:00Z,Christian Eriksen,Man Utd,2.48762,59
James Garner2023-11-26T16:30:00Z,James Garner,Everton,2.4853907,49
Alejandro Garnacho2023-11-26T16:30:00Z,Alejandro Garnacho,Man Utd,2.4620922,47
Adam Lallana2023-11-25T15:00:00Z,Adam Lallana,Brighton,2.443017,49
Yves Bissouma2023-11-26T14:00:00Z,Yves Bissouma,Spurs,2.415407,50
Gustavo Hamer2023-12-02T15:00:00Z,Gustavo Hamer,Sheffield Utd,2.40752,50
Jeffrey Schlupp2023-11-25T15:00:00Z,Jeffrey Schlupp,Crystal Palace,2.4012747,49
Pape Matar Sarr2023-11-26T14:00:00Z,Pape Matar Sarr,Spurs,2.3899074,46
Frank Onyeka2023-11-25T17:30:00Z,Frank Onyeka,Brentford,2.32053,49
Kai Havertz2023-11-25T17:30:00Z,Kai Havertz,Arsenal,2.3117867,71
Moisés Caicedo Corozo2023-11-25T15:00:00Z,Moisés Caicedo Corozo,Chelsea,2.306459,47
Lucas Tolentino Coelho de Lima2023-11-25T15:00:00Z,Lucas Tolentino Coelho de Lima,West Ham,2.2899642,60
Ross Barkley2023-11-25T15:00:00Z,Ross Barkley,Luton,2.2414184,49
Youri Tielemans2023-11-26T14:00:00Z,Youri Tielemans,Aston Villa,2.2348974,56
Jefferson Lerma Solís2023-11-25T15:00:00Z,Jefferson Lerma Solís,Crystal Palace,2.1625152,47
Richarlison de Andrade2023-11-26T14:00:00Z,Richarlison de Andrade,Spurs,2.1484542,66
Boubacar Kamara2023-11-26T14:00:00Z,Boubacar Kamara,Aston Villa,2.1482258,50
Saman Ghoddos2023-12-09T15:00:00Z,Saman Ghoddos,Brentford,2.1414719,45
Bobby De Cordova-Reid2023-11-27T20:00:00Z,Bobby De Cordova-Reid,Fulham,2.131373,54
Antony Matheus dos Santos2023-11-26T16:30:00Z,Antony Matheus dos Santos,Man Utd,2.0557134,68
Idrissa Gueye2023-11-26T16:30:00Z,Idrissa Gueye,Everton,2.0404122,48
Sofyan Amrabat2023-12-17T16:30:00Z,Sofyan Amrabat,Man Utd,2.0288377,50
Luca Koleosho2023-11-25T15:00:00Z,Luca Koleosho,Burnley,2.0101418,50
Jóhann Berg Gudmundsson2023-11-25T15:00:00Z,Jóhann Berg Gudmundsson,Burnley,1.9687277,48
Oliver Norwood2023-11-25T15:00:00Z,Oliver Norwood,Sheffield Utd,1.9420688,48
Simon Adingra2023-11-25T15:00:00Z,Simon Adingra,Brighton,1.9359224,50
Josh Brownhill2023-11-25T15:00:00Z,Josh Brownhill,Burnley,1.8862228,47
Mahmoud Dahoud2023-11-25T15:00:00Z,Mahmoud Dahoud,Brighton,1.8366307,48
Carlos Baleba2023-12-09T15:00:00Z,Carlos Baleba,Brighton,1.7788779,45
Tomáš Souček2023-11-25T15:00:00Z,Tomáš Souček,West Ham,1.7291082,49
Saïd Benrahma2023-11-25T15:00:00Z,Saïd Benrahma,West Ham,1.7291082,56
Fábio Ferreira Vieira2023-11-25T17:30:00Z,Fábio Ferreira Vieira,Arsenal,1.7074405,54
Harvey Elliott2023-11-25T12:30:00Z,Harvey Elliott,Liverpool,1.7047613,48
Lewis Cook2023-11-25T15:00:00Z,Lewis Cook,Bournemouth,1.6997522,50
Mykhailo Mudryk2023-11-25T15:00:00Z,Mykhailo Mudryk,Chelsea,1.6446236,63
Billy Gilmour2023-11-25T15:00:00Z,Billy Gilmour,Brighton,1.634154,49
Sander Berge2023-11-25T15:00:00Z,Sander Berge,Burnley,1.6264186,48
Rodrigo Bentancur2023-11-26T14:00:00Z,Rodrigo Bentancur,Spurs,1.6198547,54
Vini de Souza Costa2023-11-25T15:00:00Z,Vini de Souza Costa,Sheffield Utd,1.6003497,50
Alexis Mac Allister2023-11-25T12:30:00Z,Alexis Mac Allister,Liverpool,1.586995,58
Jorge Luiz Frello Filho2023-11-25T17:30:00Z,Jorge Luiz Frello Filho,Arsenal,1.5786273,53
James McAtee2023-11-25T15:00:00Z,James McAtee,Sheffield Utd,1.5585965,44
Mateo Kovačić2023-11-25T12:30:00Z,Mateo Kovačić,Man City,1.537003,48
Tahith Chong2023-11-25T15:00:00Z,Tahith Chong,Luton,1.5337378,48
Enzo Fernández2023-11-25T15:00:00Z,Enzo Fernández,Chelsea,1.527097,48
Facundo Buonanotte2023-11-25T15:00:00Z,Facundo Buonanotte,Brighton,1.5191358,47
Cheick Doucouré2023-11-25T15:00:00Z,Cheick Doucouré,Crystal Palace,1.4991101,50
Wataru Endo2023-12-03T14:00:00Z,Wataru Endo,Liverpool,1.4757593,54
Marvelous Nakamba2023-11-25T15:00:00Z,Marvelous Nakamba,Luton,1.46095,44
Noni Madueke2023-11-25T15:00:00Z,Noni Madueke,Chelsea,1.4467622,53
Amadou Onana2023-11-26T16:30:00Z,Amadou Onana,Everton,1.4390371,48
Alex Scott2023-11-25T15:00:00Z,Alex Scott,Bournemouth,1.3823428,49
João Victor Gomes da Silva2023-11-27T20:00:00Z,João Victor Gomes da Silva,Wolves,1.364733,49
Pablo Sarabia2023-11-27T20:00:00Z,Pablo Sarabia,Wolves,1.3373346,47
Emile Smith Rowe2023-11-25T17:30:00Z,Emile Smith Rowe,Arsenal,1.3287094,53
James Milner2023-11-25T15:00:00Z,James Milner,Brighton,1.3005883,48
Harrison Reed2023-11-27T20:00:00Z,Harrison Reed,Fulham,1.2679031,47
Mike Trésor2023-12-09T15:00:00Z,Mike Trésor,Burnley,1.2599337,54
Matt Ritchie2023-11-25T15:00:00Z,Matt Ritchie,Newcastle,1.22343,44
Yegor Yarmoliuk2023-11-25T17:30:00Z,Yegor Yarmoliuk,Brentford,1.2148522,44
Tommy Doyle2023-11-27T20:00:00Z,Tommy Doyle,Wolves,1.2110286,44
Ben Osborn2023-11-25T15:00:00Z,Ben Osborn,Sheffield Utd,1.1944752,48
Edson Álvarez Velázquez2023-11-25T15:00:00Z,Edson Álvarez Velázquez,West Ham,1.1852973,50
Luis Díaz2023-11-25T12:30:00Z,Luis Díaz,Liverpool,1.1796823,74
Ryan Gravenberch2023-12-17T16:30:00Z,Ryan Gravenberch,Liverpool,1.1735883,50
Boubacar Traoré2023-11-27T20:00:00Z,Boubacar Traoré,Wolves,1.1691203,44
Aaron Ramsey2023-12-02T15:00:00Z,Aaron Ramsey,Burnley,1.1391013,50
Joe Rothwell2023-11-25T15:00:00Z,Joe Rothwell,Bournemouth,1.1273086,48
Ryan Yates2023-11-25T15:00:00Z,Ryan Yates,Nott'm Forest,1.1210256,49
Lewis Miley2023-11-25T15:00:00Z,Lewis Miley,Newcastle,1.0980955,45
Michael Olise2023-11-25T15:00:00Z,Michael Olise,Crystal Palace,1.0827675,58
Oliver Skipp2023-11-26T14:00:00Z,Oliver Skipp,Spurs,1.0735831,46
Danilo dos Santos de Oliveira2023-11-25T15:00:00Z,Danilo dos Santos de Oliveira,Nott'm Forest,1.0696725,53
Nicolás Domínguez2023-12-15T20:00:00Z,Nicolás Domínguez,Nott'm Forest,1.04654,50
Dango Ouattara2023-11-25T15:00:00Z,Dango Ouattara,Bournemouth,1.0083872,47
Reiss Nelson2023-11-25T17:30:00Z,Reiss Nelson,Arsenal,0.99796116,49
Naouirou Ahamada2023-11-25T15:00:00Z,Naouirou Ahamada,Crystal Palace,0.98785836,43
Justin Kluivert2023-11-25T15:00:00Z,Justin Kluivert,Bournemouth,0.98762774,46
Anass Zaroury2023-11-25T15:00:00Z,Anass Zaroury,Burnley,0.9848936,47
Josh Cullen2023-11-25T15:00:00Z,Josh Cullen,Burnley,0.98417366,50
Tom Cairney2023-11-27T20:00:00Z,Tom Cairney,Fulham,0.97801834,49
Pablo Fornals Malla2023-11-25T15:00:00Z,Pablo Fornals Malla,West Ham,0.9763731,47
Kevin De Bruyne2023-11-25T12:30:00Z,Kevin De Bruyne,Man City,0.9736942,102
Jean-Ricner Bellegarde2023-12-17T14:00:00Z,Jean-Ricner Bellegarde,Wolves,0.95948267,49
Nathan Redmond2023-11-25T15:00:00Z,Nathan Redmond,Burnley,0.91742307,48
Ibrahim Sangaré2023-12-15T20:00:00Z,Ibrahim Sangaré,Nott'm Forest,0.8955659,49
Nicolò Zaniolo2023-12-06T20:15:00Z,Nicolò Zaniolo,Aston Villa,0.8896411,54
Facundo Pellistri Rebollo2023-11-26T16:30:00Z,Facundo Pellistri Rebollo,Man Utd,0.87243253,44
Anis Slimane2023-11-25T15:00:00Z,Anis Slimane,Sheffield Utd,0.8342809,47
Matheus Luiz Nunes2023-11-25T12:30:00Z,Matheus Luiz Nunes,Man City,0.81120074,49
Kalvin Phillips2023-11-25T12:30:00Z,Kalvin Phillips,Man City,0.7728379,48
Jacob Bruun Larsen2023-11-25T15:00:00Z,Jacob Bruun Larsen,Burnley,0.7544421,49
Wilson Odobert2023-12-02T15:00:00Z,Wilson Odobert,Burnley,0.7480395,50
Oscar Bobb2023-11-25T12:30:00Z,Oscar Bobb,Man City,0.7434574,44
Adama Traoré2023-12-03T14:00:00Z,Adama Traoré,Fulham,0.70148516,49
Pelly Ruddock Mpanzu2023-11-25T15:00:00Z,Pelly Ruddock Mpanzu,Luton,0.65274227,47
Ian Maatsen2023-11-25T15:00:00Z,Ian Maatsen,Chelsea,0.6449572,51
Bryan Gil Salvatierra2023-11-26T14:00:00Z,Bryan Gil Salvatierra,Spurs,0.6113069,49
Jacob Murphy2023-11-25T15:00:00Z,Jacob Murphy,Newcastle,0.60683465,48
Leander Dendoncker2023-11-26T14:00:00Z,Leander Dendoncker,Aston Villa,0.59891105,49
Jesurun Rak-Sakyi2023-11-25T15:00:00Z,Jesurun Rak-Sakyi,Crystal Palace,0.5594133,45
Giovani Lo Celso2023-11-26T14:00:00Z,Giovani Lo Celso,Spurs,0.5355357,48
Lesley Ugochukwu2023-11-25T15:00:00Z,Lesley Ugochukwu,Chelsea,0.5322478,44
Riyad Mahrez2023-11-25T12:30:00Z,Riyad Mahrez,Man City,0.52569234,75
Saša Lukić2023-11-27T20:00:00Z,Saša Lukić,Fulham,0.52313995,44
Bertrand Traoré2023-11-26T14:00:00Z,Bertrand Traoré,Aston Villa,0.5113058,50
John Fleck2023-11-25T15:00:00Z,John Fleck,Sheffield Utd,0.49255455,49
Matheus França de Oliveira2023-11-25T15:00:00Z,Matheus França de Oliveira,Crystal Palace,0.48286438,49
Harvey Barnes2023-11-25T15:00:00Z,Harvey Barnes,Newcastle,0.46291256,62
Mohamed Elneny2023-11-25T17:30:00Z,Mohamed Elneny,Arsenal,0.4582374,44
Jordan Clark2023-11-25T15:00:00Z,Jordan Clark,Luton,0.4395932,48
Allan Saint-Maximin2023-11-25T15:00:00Z,Allan Saint-Maximin,Newcastle,0.43527675,60
Solly March2023-11-25T15:00:00Z,Solly March,Brighton,0.4070624,62
Martin Ødegaard2023-11-25T17:30:00Z,Martin Ødegaard,Arsenal,0.36936927,83
Jacob Ramsey2023-11-26T14:00:00Z,Jacob Ramsey,Aston Villa,0.3581859,59
Tom Davies2023-12-02T15:00:00Z,Tom Davies,Sheffield Utd,0.34537303,50
Jadon Sancho2023-11-26T16:30:00Z,Jadon Sancho,Man Utd,0.3186326,67
Manor Solomon2023-11-26T14:00:00Z,Manor Solomon,Spurs,0.3174529,51
Philippe Coutinho Correia2023-11-26T14:00:00Z,Philippe Coutinho Correia,Aston Villa,0.30756485,58
Emiliano Buendía Stati2023-11-26T14:00:00Z,Emiliano Buendía Stati,Aston Villa,0.2958374,57
Roméo Lavia2023-12-03T14:00:00Z,Roméo Lavia,Chelsea,0.26107144,49
Ryan Fraser2023-11-25T15:00:00Z,Ryan Fraser,Newcastle,0.2607621,49
Hakim Ziyech2023-11-25T15:00:00Z,Hakim Ziyech,Chelsea,0.2312665,54
Remo Freuler2023-11-25T15:00:00Z,Remo Freuler,Nott'm Forest,0.2263844,49
Julio Enciso2023-11-25T15:00:00Z,Julio Enciso,Brighton,0.22369397,51
Sandro Tonali2023-11-25T15:00:00Z,Sandro Tonali,Newcastle,0.21793437,52
Lewis O'Brien2023-11-25T15:00:00Z,Lewis O'Brien,Nott'm Forest,0.21252131,49
Kevin Schade2023-11-25T17:30:00Z,Kevin Schade,Brentford,0.2043705,53
Granit Xhaka2023-11-25T17:30:00Z,Granit Xhaka,Arsenal,0.19786167,60
James McConnell2023-11-25T12:30:00Z,James McConnell,Liverpool,0.19259739,44
Mikkel Damsgaard2023-11-25T17:30:00Z,Mikkel Damsgaard,Brentford,0.18423212,48
Christian Pulisic2023-11-25T15:00:00Z,Christian Pulisic,Chelsea,0.18085647,55
Carlos Henrique Casimiro2023-11-26T16:30:00Z,Carlos Henrique Casimiro,Man Utd,0.1799066,54
Daniel Castelo Podence2023-11-27T20:00:00Z,Daniel Castelo Podence,Wolves,0.17144895,53
Demarai Gray2023-11-26T16:30:00Z,Demarai Gray,Everton,0.16585612,53
Shandon Baptiste2023-11-25T17:30:00Z,Shandon Baptiste,Brentford,0.15830445,43
Josh Dasilva2023-11-25T17:30:00Z,Josh Dasilva,Brentford,0.1581055,47
Anssumane Fati Vieira2023-12-09T15:00:00Z,Anssumane Fati Vieira,Brighton,0.15613317,65
Gonçalo Manuel Ganchinho Guedes2023-11-27T20:00:00Z,Gonçalo Manuel Ganchinho Guedes,Wolves,0.15526497,54
Frederico Rodrigues de Paula Santos2023-11-26T16:30:00Z,Frederico Rodrigues de Paula Santos,Man Utd,0.1547513,50
Cheikhou Kouyaté2023-11-25T15:00:00Z,Cheikhou Kouyaté,Nott'm Forest,0.14490724,48
Jonjo Shelvey2023-11-25T15:00:00Z,Jonjo Shelvey,Nott'm Forest,0.13921916,48
Andrey Nascimento dos Santos2023-11-25T15:00:00Z,Andrey Nascimento dos Santos,Nott'm Forest,0.13647461,44
Fred Onyedinma2023-11-25T15:00:00Z,Fred Onyedinma,Luton,0.13441277,50
Elliot Anderson2023-11-25T15:00:00Z,Elliot Anderson,Newcastle,0.13364518,43
Thiago Alcántara do Nascimento2023-11-25T12:30:00Z,Thiago Alcántara do Nascimento,Liverpool,0.12672007,48
Tyler Adams2023-12-06T19:30:00Z,Tyler Adams,Bournemouth,0.12609434,49
Jordan Henderson2023-11-25T12:30:00Z,Jordan Henderson,Liverpool,0.12412286,50
Thomas Partey2023-11-25T17:30:00Z,Thomas Partey,Arsenal,0.12222886,48
Tanguy Ndombélé Alvaro2023-11-26T14:00:00Z,Tanguy Ndombélé Alvaro,Spurs,0.11282599,44
Scott Twine2023-11-25T15:00:00Z,Scott Twine,Burnley,0.10717046,49
Samuel Bastien2023-11-25T15:00:00Z,Samuel Bastien,Burnley,0.105320334,49
Jaidon Anthony2023-11-25T15:00:00Z,Jaidon Anthony,Bournemouth,0.10430682,49
Stefan Bajcetic2023-11-25T12:30:00Z,Stefan Bajcetic,Liverpool,0.10382831,47
Manuel Benson Hedilazio2023-11-25T15:00:00Z,Manuel Benson Hedilazio,Burnley,0.09712577,52
Fabio Henrique Tavares2023-11-25T12:30:00Z,Fabio Henrique Tavares,Liverpool,0.09217191,50
Carney Chukwuemeka2023-11-25T15:00:00Z,Carney Chukwuemeka,Chelsea,0.08836579,43
