,name,team,minutes
434,Richie Laryea,Nott'm Forest,0
439,Issa Kaboré,Luton,1
443,Victor da Silva,Burnley,1
446,Willy Boly,Nott'm Forest,0
450,Omar Richards,Nott'm Forest,0
451,Nuno Varela Tavares,Nott'm Forest,0
452,Olu Aina,Nott'm Forest,1
455,Amari'i Bell,Luton,0
458,Connor Roberts,Burnley,0
460,Aidan Francis-Clarke,Luton,0
461,Serge Aurier,Nott'm Forest,1
464,Felipe Augusto de Almeida Monteiro,Nott'm Forest,0
466,Alfie Doughty,Luton,1
468,Dan Potts,Luton,0
469,Steve Cook,Nott'm Forest,0
474,Gabriel Osho,Luton,1
481,Ryan Giles,Luton,0
482,Giulian Biancone,Nott'm Forest,0
489,Tom Lockyer,Luton,1
490,Scott McKenna,Nott'm Forest,0
492,CJ Egan-Riley,Burnley,0
503,Jordan Beyer,Burnley,1
511,Loïc Mbe Soh,Nott'm Forest,0
513,Jonathan Panzo,Nott'm Forest,0
520,Luke McNally,Burnley,0
521,Mads Juel Andersen,Luton,0
522,Joe Worrall,Nott'm Forest,0
526,Josh Powell,Nott'm Forest,0
527,Mohamed Dräger,Nott'm Forest,0
529,Moussa Niakhaté,Nott'm Forest,1
531,Charlie Taylor,Burnley,1
534,Bobby Thomas,Burnley,0
537,Teden Mengi,Luton,1
541,Ryan Fredericks,Bournemouth,0
548,Lloyd Kelly,Bournemouth,1
549,Marcos Senesi,Bournemouth,1
561,Milos Kerkez,Bournemouth,1
562,James Hill,Bournemouth,0
563,Illia Zabarnyi,Bournemouth,1
564,Chris Mepham,Bournemouth,1
566,Adam Smith,Bournemouth,0
574,Kenny Tete,Fulham,0
579,Ben Greenwood,Bournemouth,0
580,Terence Kongolo,Fulham,0
581,Tyrick Mitchell,Crystal Palace,1
583,Kevin Mbabu,Fulham,0
586,Tim Ream,Fulham,1
588,Tosin Adarabioyo,Fulham,0
591,Nathaniel Clyne,Crystal Palace,0
592,Joel Ward,Crystal Palace,1
593,Antonee Robinson,Fulham,1
594,James Tomkins,Crystal Palace,0
596,Femi Seriki,Sheffield Utd,0
598,Max Aarons,Bournemouth,1
603,Chris Richards,Crystal Palace,0
608,Issa Diop,Fulham,0
612,Jake O'Brien,Crystal Palace,0
616,Calvin Bassey,Fulham,1
621,Joachim Andersen,Crystal Palace,1
623,Marc Guéhi,Crystal Palace,1
629,Luc De Fougerolles,Fulham,0
635,Max Lowe,Sheffield Utd,0
638,John Egan,Sheffield Utd,0
639,Anel Ahmedhodžić,Sheffield Utd,0
640,Jack Robinson,Sheffield Utd,1
641,Jayden Bogle,Sheffield Utd,1
642,Yasser Larouci,Sheffield Utd,0
646,Rhys Norrington-Davies,Sheffield Utd,0
649,Chris Basham,Sheffield Utd,0
654,George Baldock,Sheffield Utd,1
657,Auston Trusty,Sheffield Utd,1
665,Alfie Gilchrist,Chelsea,0
667,Andrew Omobamidele,Nott'm Forest,0
