,name,team,minutes
10,Callum Wilson,Newcastle,1
32,Alexander Isak,Newcastle,1
40,Deniz Undav,Brighton,0
46,Evan Ferguson,Brighton,1
47,Danny Welbeck,Brighton,1
50,Aaron Connolly,Brighton,0
54,Andi Zeqiri,Brighton,0
65,João Pedro Junqueira de Jesus,Brighton,1
72,Erling Haaland,Man City,1
91,Julián Álvarez,Man City,1
105,Harry Kane,Spurs,0
108,Ivan Toney,Brentford,0
110,Halil Dervişoğlu,Brentford,0
111,Eddie Nketiah,Arsenal,1
122,Folarin Balogun,Arsenal,0
124,Gabriel Fernando de Jesus,Arsenal,0
188,Yoane Wissa,Brentford,1
212,Luke Plange,Crystal Palace,0
235,Taiwo Awoniyi,Nott'm Forest,1
239,Shola Shoretire,Man Utd,0
255,Wesley Moraes Ferreira da Silva,Aston Villa,0
268,Sam Surridge,Nott'm Forest,0
274,Nicolas Jackson,Chelsea,1
281,Odsonne Edouard,Crystal Palace,1
288,Michail Antonio,West Ham,1
291,Ollie Watkins,Aston Villa,1
295,Romelu Lukaku Bolingoli,Chelsea,0
296,Rodrigo Muniz Carvalho,Fulham,1
302,Raúl Jiménez,Fulham,1
306,Pierre-Emerick Aubameyang,Chelsea,0
318,Emmanuel Dennis,Nott'm Forest,0
328,Dominic Solanke,Bournemouth,1
331,Divin Mubama,West Ham,0
341,Gianluca Scamacca,West Ham,0
342,Anthony Martial,Man Utd,1
344,Antoine Semenyo,Bournemouth,1
351,Armando Broja,Chelsea,0
364,Carlos Vinícius Alves Morais,Fulham,0
367,Cameron Archer,Aston Villa,1
374,Chris Wood,Nott'm Forest,1
379,David Datro Fofana,Chelsea,0
381,Darwin Núñez Ribeiro,Liverpool,0
383,Danny Ings,West Ham,0
386,Christopher Nkunku,Chelsea,0
393,Cody Gakpo,Liverpool,1
398,Aleksandar Mitrović,Fulham,0
405,Jhon Durán,Aston Villa,1
409,Jean-Philippe Mateta,Crystal Palace,0
419,Kieffer Moore,Bournemouth,1
424,Keinan Davis,Aston Villa,0
447,Hwang Ui-jo,Nott'm Forest,0
471,William Osula,Sheffield Utd,1
486,Ellis Simms,Everton,0
496,Matheus Santos Carneiro Da Cunha,Wolves,1
502,Bénie Traoré,Sheffield Utd,1
515,Iliman Ndiaye,Sheffield Utd,0
521,Sasa Kalajdzic,Wolves,0
525,Daniel Jebbison,Sheffield Utd,0
528,Rhian Brewster,Sheffield Utd,0
531,Dominic Calvert-Lewin,Everton,1
536,Oliver McBurnie,Sheffield Utd,0
539,Fábio Silva,Wolves,1
541,Neal Maupay,Everton,1
545,Alejo Véliz,Spurs,0
549,Antwoine Hackford,Sheffield Utd,1
553,Dane Scarlett,Spurs,0
560,Jay Stansfield,Fulham,0
562,John-Kymani Gordon,Crystal Palace,0
569,Louie Marsh,Sheffield Utd,0
572,Mason Burstow,Chelsea,1
580,Rasmus Højlund,Man Utd,0
581,Thomas Cannon,Everton,0
585,Youssef Ramalho Chermiti,Everton,0
