,name,team,minutes
9,Julián Álvarez,Man City,1
26,Erling Haaland,Man City,1
50,Jhon Durán,Aston Villa,0
56,Ollie Watkins,Aston Villa,1
59,Wesley Moraes Ferreira da Silva,Aston Villa,0
74,Keinan Davis,Aston Villa,0
86,Cody Gakpo,Liverpool,1
90,Darwin Núñez Ribeiro,Liverpool,1
116,Alexander Isak,Newcastle,1
117,Callum Wilson,Newcastle,0
144,Eddie Nketiah,Arsenal,1
146,Folarin Balogun,Arsenal,0
162,Gabriel Fernando de Jesus,Arsenal,1
169,Evan Ferguson,Brighton,1
186,João Pedro Junqueira de Jesus,Brighton,1
190,Aaron Connolly,Brighton,0
192,Andi Zeqiri,Brighton,0
193,Danny Welbeck,Brighton,0
197,Deniz Undav,Brighton,0
216,Deivid Washington de Souza Eugênio,Chelsea,0
225,Dane Scarlett,Spurs,0
231,Harry Kane,Spurs,0
240,Norberto Bercique Gomes Betuncal,Everton,1
250,Alejo Véliz,Spurs,0
256,Pierre-Emerick Aubameyang,Chelsea,0
264,Mason Burstow,Chelsea,0
283,Christopher Nkunku,Chelsea,0
291,Gianluca Scamacca,West Ham,0
292,Romelu Lukaku Bolingoli,Chelsea,0
293,Danny Ings,West Ham,1
299,Divin Mubama,West Ham,0
306,David Datro Fofana,Chelsea,0
311,Armando Broja,Chelsea,1
312,Michail Antonio,West Ham,0
316,Nicolas Jackson,Chelsea,1
321,Yoane Wissa,Brentford,1
345,Ivan Toney,Brentford,0
349,Halil Dervişoğlu,Brentford,0
358,Thomas Cannon,Everton,0
360,Youssef Ramalho Chermiti,Everton,1
364,Matheus Santos Carneiro Da Cunha,Wolves,1
365,Fábio Silva,Wolves,0
380,Sasa Kalajdzic,Wolves,1
396,Dominic Calvert-Lewin,Everton,1
397,Ellis Simms,Everton,0
421,Neal Maupay,Brentford,1
423,Cameron Archer,Sheffield Utd,1
427,Hwang Ui-jo,Nott'm Forest,0
446,Taiwo Awoniyi,Nott'm Forest,0
452,Emmanuel Dennis,Nott'm Forest,0
462,Sam Surridge,Nott'm Forest,0
463,Chris Wood,Nott'm Forest,1
467,Rasmus Højlund,Man Utd,0
473,Anthony Martial,Man Utd,1
494,Shola Shoretire,Man Utd,0
505,Nathan Fraser,Wolves,0
512,Odsonne Edouard,Crystal Palace,1
522,Luke Plange,Crystal Palace,0
529,Jean-Philippe Mateta,Crystal Palace,1
539,John-Kymani Gordon,Crystal Palace,0
557,Kieffer Moore,Bournemouth,0
562,Dominic Solanke,Bournemouth,1
570,Antoine Semenyo,Bournemouth,1
575,Antwoine Hackford,Sheffield Utd,0
581,Louie Marsh,Sheffield Utd,0
586,Zeki Amdouni,Burnley,1
590,Jay Rodriguez,Burnley,1
601,Wout Weghorst,Burnley,0
606,Michael Obafemi,Burnley,0
610,Lyle Foster,Burnley,0
619,John McAtee,Luton,0
623,Carlton Morris,Luton,1
624,Cauley Woodrow,Luton,0
627,Admiral Muskwe,Luton,0
631,Chiedozie Ogbene,Luton,1
633,Aribim Pepple,Luton,0
639,Elijah Adebayo,Luton,1
648,Joe Taylor,Luton,0
655,Iliman Ndiaye,Sheffield Utd,0
656,Daniel Jebbison,Sheffield Utd,0
661,William Osula,Sheffield Utd,1
666,Bénie Traoré,Sheffield Utd,0
668,Rhian Brewster,Sheffield Utd,0
671,Jacob Brown,Luton,1
673,Oliver McBurnie,Sheffield Utd,1
687,Aleksandar Mitrović,Fulham,0
692,Carlos Vinícius Alves Morais,Fulham,1
695,Rodrigo Muniz Carvalho,Fulham,0
696,Raúl Jiménez,Fulham,1
705,Jay Stansfield,Fulham,0
707,Divock Origi,Nott'm Forest,0
710,Ronnie Stutter,Chelsea,0
