,name,team,minutes
2,Yasin Ayari,Brighton,0
4,Mahmoud Dahoud,Brighton,0
5,Facundo Buonanotte,Brighton,0
6,Steven Alzate,Brighton,0
10,Jeremy Sarmiento Morante,Brighton,0
12,Solly March,Brighton,1
13,Kaoru Mitoma,Brighton,1
14,Simon Adingra,Brighton,1
17,Ben Doak,Liverpool,0
26,Billy Gilmour,Brighton,1
27,Kacper Kozłowski,Brighton,0
29,Adam Lallana,Brighton,0
32,Jakub Moder,Brighton,0
33,Bobby Clark,Liverpool,0
34,Pascal Groß,Brighton,0
35,James McConnell,Liverpool,0
36,Julio Enciso,Brighton,0
38,James Milner,Brighton,0
39,Phil Foden,Man City,1
40,Jack Hinshelwood,Brighton,1
42,Bernardo Veiga de Carvalho e Silva,Man City,0
43,Oscar Bobb,Man City,1
45,Shea Charles,Man City,0
49,Kevin De Bruyne,Man City,0
52,Riyad Mahrez,Man City,0
60,Matt Ritchie,Newcastle,0
61,Bruno Guimarães Rodriguez Moura,Newcastle,1
63,Elliot Anderson,Newcastle,1
66,Jack Grealish,Man City,1
67,Jacob Murphy,Newcastle,0
68,Isaac Hayden,Newcastle,0
71,Harvey Barnes,Newcastle,0
75,Garang Kuol,Newcastle,0
77,Jeff Hendrick,Newcastle,0
78,Máximo Perrone,Man City,0
81,Rodrigo Hernandez,Man City,0
82,Ryan Fraser,Newcastle,0
83,Joe Willock,Newcastle,0
84,Joelinton Cássio Apolinário de Lira,Newcastle,0
85,Miguel Almirón Rejala,Newcastle,1
86,Sandro Tonali,Newcastle,1
87,Kalvin Phillips,Man City,1
88,Sean Longstaff,Newcastle,1
90,Anthony Gordon,Newcastle,1
93,Allan Saint-Maximin,Newcastle,0
99,Mateo Kovačić,Man City,1
102,Diogo Teixeira da Silva,Liverpool,1
108,Dejan Kulusevski,Spurs,1
110,Mohamed Salah,Liverpool,1
111,Dominik Szoboszlai,Liverpool,1
117,Richarlison de Andrade,Spurs,1
118,Fabio Henrique Tavares,Liverpool,0
119,Jordan Henderson,Liverpool,0
121,Manor Solomon,Spurs,1
122,Pape Matar Sarr,Spurs,1
126,Luis Díaz,Liverpool,1
127,Harvey Elliott,Liverpool,0
129,James Maddison,Spurs,1
131,Giovani Lo Celso,Spurs,0
133,Alexis Mac Allister,Liverpool,1
138,Oliver Skipp,Spurs,0
139,Curtis Jones,Liverpool,1
142,Stefan Bajcetic,Liverpool,0
143,Son Heung-min,Spurs,1
144,Tanguy Ndombélé Alvaro,Spurs,0
147,Thiago Alcántara do Nascimento,Liverpool,0
153,Pierre-Emile Højbjerg,Spurs,1
154,Bryan Gil Salvatierra,Spurs,0
156,Yves Bissouma,Spurs,1
158,Rodrigo Bentancur,Spurs,0
162,Lewis Miley,Newcastle,0
163,Omari Kellyman,Aston Villa,0
166,Tim Iroegbunam,Aston Villa,0
169,Philippe Coutinho Correia,Aston Villa,0
170,Leon Bailey,Aston Villa,0
171,Emiliano Buendía Stati,Aston Villa,0
172,Moussa Diaby,Aston Villa,1
173,Bertrand Traoré,Aston Villa,0
174,Morgan Sanson,Aston Villa,0
179,James McAtee,Sheffield Utd,1
182,John McGinn,Aston Villa,1
186,Jaden Philogene-Bidace,Aston Villa,0
187,Boubacar Kamara,Aston Villa,1
191,Youri Tielemans,Aston Villa,0
193,Douglas Luiz Soares de Paulo,Aston Villa,1
194,Jacob Ramsey,Aston Villa,1
195,Matheus Luiz Nunes,Man City,1
196,Leander Dendoncker,Aston Villa,0
197,Gabriel Martinelli Silva,Arsenal,0
203,Fábio Ferreira Vieira,Arsenal,1
204,Thomas Partey,Arsenal,0
205,Kai Havertz,Arsenal,1
207,Marcus Oliveira Alencar,Arsenal,0
208,Bukayo Saka,Arsenal,1
210,Granit Xhaka,Arsenal,0
212,Nicolas Pépé,Arsenal,0
213,Reiss Nelson,Arsenal,1
214,Martin Ødegaard,Arsenal,1
215,Leandro Trossard,Arsenal,0
216,Declan Rice,Arsenal,1
218,Mohamed Elneny,Arsenal,0
219,Jorge Luiz Frello Filho,Arsenal,1
226,Emile Smith Rowe,Arsenal,1
229,Edson Álvarez Velázquez,West Ham,1
231,Tommy Doyle,Wolves,0
232,Brennan Johnson,Spurs,0
233,Pablo Fornals Malla,West Ham,0
236,Tomáš Souček,West Ham,1
237,Maxwel Cornet,West Ham,0
238,Saïd Benrahma,West Ham,1
240,Conor Coventry,West Ham,0
244,Jarrod Bowen,West Ham,1
245,Lucas Tolentino Coelho de Lima,West Ham,1
248,Flynn Downes,West Ham,0
253,Nikola Vlašić,West Ham,0
257,Mikkel Damsgaard,Brentford,0
260,Keane Lewis-Potter,Brentford,1
263,Kevin Schade,Brentford,0
266,Josh Dasilva,Brentford,0
267,Mads Bidstrup,Brentford,0
268,Mathias Jensen,Brentford,1
270,Sergi Canós Tenés,Brentford,0
272,Vitaly Janelt,Brentford,1
280,Yegor Yarmolyuk,Brentford,0
281,Frank Onyeka,Brentford,1
282,Ryan Trevitt,Brentford,0
283,Albert Sambi Lokonga,Luton,0
284,Bryan Mbeumo,Brentford,1
