,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,team Goal scored,team Goal conceded,element_type_ex,season,mean assists 3,mean assists all,mean bonus 3,mean bonus all,mean bps 3,mean bps all,mean clean_sheets 3,mean clean_sheets all,mean creativity 3,mean creativity all,mean goals_conceded 3,mean goals_conceded all,mean goals_scored 3,mean goals_scored all,mean ict_index 3,mean ict_index all,mean influence 3,mean influence all,mean minutes 3,mean minutes all,mean own_goals 3,mean own_goals all,mean penalties_missed 3,mean penalties_missed all,mean penalties_saved 3,mean penalties_saved all,mean red_cards 3,mean red_cards all,mean saves 3,mean saves all,mean selected 3,mean selected all,mean threat 3,mean threat all,mean total_points 3,mean total_points all,mean transfers_in 3,mean transfers_in all,mean transfers_out 3,mean transfers_out all,mean value 3,mean value all,mean match_result 3,mean match_result all,mean team Goal scored 3,mean team Goal scored all,mean team Goal conceded 3,mean team Goal conceded all,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3,ratio_goal_scored 3,ratio_goal_scored all,opp mean team Goal scored 3,opp mean team Goal conceded 3,opp mean team Goal scored all,opp mean team Goal conceded all,opp mean match_result all
0,0.0,False,2023-12-16T15:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-98.0,2445.0,111.0,209.0,Luke Harris,45.0,MID,Fulham,15,0.0,Burnley,10,20,3.0737704918032787,10,0.0,0.0,3.0,10.0,1.0,1.6,0.6,0.0,0.0,7.0,0.2,0.0,0.0,0.0,0.0,43.0,0.0,3.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2529.0,2528.0,0.0,0.0,0.0,0.0,104.66666666666667,112.5,129.33333333333334,141.0,45.0,45.0,2.0,2.25,4.333333333333333,4.0,1.3333333333333333,1.5,0.0,0.0,0.0,0.0,0.0,9.201449161228174,0.0,0.0,13.960261060914616,17.46106780494506,0.0,0.0,0.0,2.0,1.0,1.75,1.5,0.75
1,0.0,True,2023-12-10T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,-32.0,2797.0,11.0,43.0,Adama Traoré,49.0,MID,Fulham,15,3.0,Burnley,10,20,3.3469945355191255,7,,,,,,,,,,,,,,,,,5.0,0.0,,2023-24,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.225,0.0,1.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,2889.0,0.0,0.0,0.0,0.25,64.66666666666667,52.75,101.66666666666667,108.0,49.0,49.0,2.0,1.5,3.6666666666666665,3.0,2.0,2.25,0.0,0.0,0.0,0.0,0.0,73.37574531137656,0.0,0.0,76.6130247122221,31.982634176829286,0.0,0.0,0.0,2.0,1.0,1.75,1.5,0.75
2,0.0,False,2023-12-06T20:15:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,-10.0,4332.0,0.0,10.0,Riyad Mahrez,75.0,MID,Man City,15,0.0,Everton,1,17,4.501800720288116,1,5.0,12.0,126.0,1913.0,23.0,773.4,533.6,520.0,11.0,470.0,182.5,6.0,0.0,2.0,8.9,75.0,0.0,1.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4363.666666666667,5090.538461538462,0.0,0.0,0.0,0.0,0.0,0.0,22.666666666666668,350.7692307692308,75.0,75.0,1.0,2.076923076923077,2.6666666666666665,2.6153846153846154,2.6666666666666665,1.1538461538461537,0.0,0.0,0.0,0.0,0.0,19.871811414385174,0.0,0.0,0.0,5.90668171555645,0.0,0.0,0.0,1.3333333333333333,1.0,1.75,1.25,2.25
3,1.0,False,2023-12-06T20:15:00Z,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.4,0.8,0.0,0.2,44,-12.0,6024.0,300.0,312.0,Oscar Bobb,44.0,MID,Man City,15,0.0,Everton,1,17,2.6410564225690276,11,,,,,,,,,,,,,,,,,0.0,1.0,,2023-24,0.0,0.15384615384615385,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.4076923076923076,0.0,0.07692307692307693,0.0,0.0,0.0,0.6230769230769231,0.0,2.230769230769231,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6013.0,4447.307692307692,0.0,0.6153846153846154,0.0,0.7692307692307693,617.0,600.2307692307693,553.6666666666666,452.6923076923077,44.0,44.15384615384615,1.0,2.076923076923077,2.6666666666666665,2.6153846153846154,2.6666666666666665,1.1538461538461537,0.0,0.0,0.0,0.0,0.0,37.31844941401862,0.0,0.0,148.93622796351463,30.34615113797611,0.0,0.0,0.0,1.3333333333333333,1.0,1.75,1.25,2.25
4,0.0,False,2023-12-06T20:15:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,-425.0,162349.0,325.0,750.0,Kevin De Bruyne,102.0,MID,Man City,15,0.0,Everton,1,17,6.122448979591836,0,7.0,18.0,183.0,2413.0,23.0,1476.7,897.8,598.0,26.0,742.0,297.6,10.0,0.0,1.0,25.5,121.0,0.0,1.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,1.4461538461538461,0.0,0.0,0.0,0.0,0.0,0.16923076923076924,0.0,0.1846153846153846,0.0,1.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163153.33333333334,285358.6153846154,0.0,0.07692307692307693,0.0,0.07692307692307693,628.3333333333334,877.0769230769231,1729.0,83375.69230769231,102.0,102.46153846153847,1.0,2.076923076923077,2.6666666666666665,2.6153846153846154,2.6666666666666665,1.1538461538461537,0.0,0.0,0.0,0.0,0.0,440.5953043578906,0.0,0.0,269.29578946248347,400.1774606346539,0.0,0.0,0.0,1.3333333333333333,1.0,1.75,1.25,2.25
5,2.0,False,2023-12-06T20:15:00Z,67.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.4,1.0,0.0,0.2,70,-55511.0,3028311.0,62906.0,118417.0,Julián Álvarez,69.0,FWD,Man City,15,0.0,Everton,1,17,4.201680672268908,1,9.0,3.0,103.0,1448.0,16.0,271.1,430.8,545.0,14.0,393.0,124.7,5.0,0.0,0.0,7.7,61.0,0.0,1.0,,2023-24,0.6666666666666666,0.5384615384615384,0.0,0.8461538461538461,19.333333333333332,23.53846153846154,0.0,0.38461538461538464,54.333333333333336,37.26153846153846,2.0,0.8461538461538461,0.0,0.3076923076923077,8.766666666666666,7.884615384615385,14.6,22.707692307692305,84.66666666666667,82.46153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3243838.0,2530105.6923076925,18.666666666666668,18.846153846153847,4.0,5.461538461538462,108947.33333333333,302975.6153846154,248971.33333333334,150897.53846153847,71.0,69.15384615384616,1.0,2.076923076923077,2.6666666666666665,2.6153846153846154,2.6666666666666665,1.1538461538461537,6.128258770283411,28.015868519267595,3.1351058816073323,8.912911982062877,4.988876515698588,122269.65805955294,11.115554667022044,1.4142135623730951,33810.79884034422,36053.80596028972,0.816496580927726,0.0,11.76470588235294,1.3333333333333333,1.0,1.75,1.25,2.25
6,0.0,False,2023-12-06T20:15:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,-397.0,109916.0,0.0,397.0,João Cancelo,58.0,DEF,Man City,15,0.0,Everton,1,17,3.4813925570228093,0,2.0,2.0,73.0,1273.0,16.0,266.4,277.0,276.0,10.0,304.0,81.2,6.0,1.0,3.0,17.8,71.0,0.0,1.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111114.33333333333,150764.07692307694,0.0,0.0,0.0,0.0,0.0,1200.8461538461538,996.6666666666666,16722.76923076923,58.0,58.23076923076923,1.0,2.076923076923077,2.6666666666666665,2.6153846153846154,2.6666666666666665,1.1538461538461537,0.0,0.0,0.0,0.0,0.0,753.8639724040995,0.0,0.0,0.0,245.6071841149784,0.0,0.0,0.0,1.3333333333333333,1.0,1.75,1.25,2.25
7,4.0,False,2023-12-06T20:15:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,23.0,45.6,0.0,0.0,4.6,55,30517.0,1716740.0,62314.0,31797.0,Ederson Santana de Moraes,55.0,GKP,Man City,15,0.0,Everton,1,17,3.3013205282112845,0,0.0,1.0,121.0,3150.0,32.0,13.1,479.0,0.0,8.0,581.0,49.2,11.0,0.0,3.0,15.0,54.0,0.0,1.0,,2023-24,0.0,0.0,0.0,0.0,18.666666666666668,16.692307692307693,0.0,0.3076923076923077,0.0,0.7692307692307693,2.6666666666666665,1.0769230769230769,0.0,0.0,2.4,1.8000000000000003,23.86666666666667,17.338461538461537,90.0,83.07692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,1.6923076923076923,1699269.0,1806901.2307692308,0.0,0.0,1.3333333333333333,2.923076923076923,18914.333333333332,52274.769230769234,72407.33333333333,74268.84615384616,55.0,55.46153846153846,1.0,2.076923076923077,2.6666666666666665,2.6153846153846154,2.6666666666666665,1.1538461538461537,4.496912521077347,0.0,0.9416297927883688,9.518169758706533,0.0,46840.5656954169,0.0,0.4714045207910317,15233.331203500946,32864.87846048152,0.0,0.0,0.0,1.3333333333333333,1.0,1.75,1.25,2.25
8,2.0,False,2023-12-06T20:15:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.8,6.7,2.0,2.1,49,9100.0,559509.0,21038.0,11938.0,Manuel Akanji,49.0,DEF,Man City,15,0.0,Everton,1,17,2.9411764705882355,5,0.0,1.0,82.0,2284.0,23.0,146.5,385.6,180.0,5.0,460.0,71.4,7.0,0.0,2.0,3.6,51.0,0.0,1.0,,2023-24,0.0,0.0,0.0,0.07692307692307693,17.333333333333332,15.846153846153847,0.0,0.23076923076923078,4.433333333333334,8.169230769230769,2.6666666666666665,1.0769230769230769,0.3333333333333333,0.15384615384615385,3.8333333333333335,3.246153846153846,24.866666666666664,18.984615384615385,90.0,76.15384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,518318.0,639801.6923076923,8.666666666666666,5.3076923076923075,3.0,-1.0,34699.333333333336,32341.0,14239.333333333334,71049.53846153847,49.0,49.84615384615385,1.0,2.076923076923077,2.6666666666666665,2.6153846153846154,2.6666666666666665,1.1538461538461537,6.847546194724712,1.8696404883173543,2.4526629518862872,20.094664853028917,0.0,30505.78505791975,6.944222218666553,2.160246899469287,14918.75933924206,4252.863845562058,0.0,12.5,5.88235294117647,1.3333333333333333,1.0,1.75,1.25,2.25
9,0.0,False,2023-12-06T20:15:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,-119.0,9027.0,132.0,251.0,Scott Carson,39.0,GKP,Man City,15,0.0,Everton,1,17,2.3409363745498197,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,38.0,0.0,1.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9196.666666666666,8242.461538461539,0.0,0.0,0.0,0.0,224.33333333333334,416.61538461538464,319.6666666666667,392.0769230769231,39.0,39.30769230769231,1.0,2.076923076923077,2.6666666666666665,2.6153846153846154,2.6666666666666665,1.1538461538461537,0.0,0.0,0.0,0.0,0.0,74.0915349790754,0.0,0.0,61.29890337971435,39.83577398380618,0.0,0.0,0.0,1.3333333333333333,1.0,1.75,1.25,2.25
