,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,team Goal scored,team Goal conceded,element_type_ex,season,mean assists 3,mean assists all,mean bonus 3,mean bonus all,mean bps 3,mean bps all,mean clean_sheets 3,mean clean_sheets all,mean creativity 3,mean creativity all,mean goals_conceded 3,mean goals_conceded all,mean goals_scored 3,mean goals_scored all,mean ict_index 3,mean ict_index all,mean influence 3,mean influence all,mean minutes 3,mean minutes all,mean own_goals 3,mean own_goals all,mean penalties_missed 3,mean penalties_missed all,mean penalties_saved 3,mean penalties_saved all,mean red_cards 3,mean red_cards all,mean saves 3,mean saves all,mean selected 3,mean selected all,mean threat 3,mean threat all,mean total_points 3,mean total_points all,mean transfers_in 3,mean transfers_in all,mean transfers_out 3,mean transfers_out all,mean value 3,mean value all,mean match_result 3,mean match_result all,mean team Goal scored 3,mean team Goal scored all,mean team Goal conceded 3,mean team Goal conceded all,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3,ratio_goal_scored 3,ratio_goal_scored all,opp mean team Goal scored 3,opp mean team Goal conceded 3,opp mean team Goal scored all,opp mean team Goal conceded all,opp mean match_result all
491,1.0,False,2023-08-18T18:45:00Z,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,0.1,2.0,0.4,45,-92.0,8109.0,616.0,708.0,Max Lowe,45.0,DEF,Sheffield Utd,2,0.0,Man City,20,1,3.3707865168539324,0,,,,,,,,,,,,,,,,,1.0,2.0,,2023-24,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.9,10.9,1.0,1.0,0.0,0.0,3.8,3.8,27.2,27.2,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6487.0,6487.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,0.0,3.0,0.0,3.0
492,-1.0,True,2023-08-19T14:00:00Z,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,11.2,11.4,0.0,2.3,45,676.0,71470.0,4635.0,3959.0,Max Kilman,45.0,DEF,Wolves,2,0.0,Everton,13,17,3.1802120141342756,0,0.0,1.0,109.0,3307.0,56.0,66.9,739.8,106.0,12.0,622.0,91.6,11.0,0.0,3.0,3.1,43.0,1.0,4.0,,2023-24,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,10.7,10.7,1.0,1.0,0.0,0.0,6.6,6.6,34.6,34.6,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66513.0,66513.0,21.0,21.0,2.0,2.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0
493,1.0,False,2023-08-18T18:45:00Z,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.2,1.5,6.0,2.2,45,-189.0,8151.0,447.0,636.0,Jack Robinson,45.0,DEF,Sheffield Utd,2,0.0,Man City,20,1,3.3707865168539324,0,,,,,,,,,,,,,,,,,1.0,2.0,,2023-24,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6562.0,6562.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,0.0,3.0,0.0,3.0
494,0.0,True,2023-08-19T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-1991.0,26006.0,844.0,2835.0,Matt Doherty,45.0,DEF,Wolves,2,0.0,Everton,13,17,3.1802120141342756,0,1.0,0.0,35.0,663.0,9.0,110.5,147.0,146.0,2.0,147.0,40.3,3.0,0.0,0.0,0.3,46.0,1.0,4.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24698.0,24698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0
495,0.0,True,2023-08-19T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,-6283.0,50421.0,0.0,6283.0,Matija Šarkić,40.0,GKP,Wolves,2,0.0,Everton,13,17,2.8268551236749118,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,39.0,1.0,4.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57302.0,57302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0
496,2.0,True,2023-08-19T14:00:00Z,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.4,38.2,39.0,9.7,55,13288.0,48034.0,19993.0,6705.0,Matheus Santos Carneiro Da Cunha,55.0,FWD,Wolves,2,0.0,Everton,13,17,3.8869257950530036,0,2.0,0.0,39.0,961.0,12.0,95.1,143.0,217.0,6.0,122.0,45.1,5.0,0.0,1.0,0.1,53.0,1.0,4.0,,2023-24,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,11.7,11.7,1.0,1.0,0.0,0.0,4.2,4.2,6.2,6.2,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23020.0,23020.0,24.0,24.0,2.0,2.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0
497,-1.0,True,2023-08-19T14:00:00Z,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.8,18.0,12.0,3.5,50,1713.0,23879.0,4019.0,2306.0,Matheus Luiz Nunes,50.0,MID,Wolves,2,0.0,Everton,13,17,3.5335689045936394,4,1.0,1.0,80.0,2467.0,38.0,405.0,370.2,310.0,5.0,338.0,108.6,11.0,1.0,2.0,0.1,48.0,1.0,4.0,,2023-24,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,27.8,27.8,1.0,1.0,0.0,0.0,5.2,5.2,22.6,22.6,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18442.0,18442.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0
498,2.0,False,2023-08-20T13:00:00Z,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.8,18.4,4.0,3.6,50,-208.0,4037.0,262.0,470.0,James Garner,50.0,MID,Everton,2,0.0,Wolves,17,13,3.5112359550561796,5,0.0,1.0,25.0,796.0,13.0,114.6,90.4,57.0,0.0,109.0,26.5,2.0,0.0,3.0,0.0,45.0,0.0,4.0,,2023-24,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,18.3,18.3,1.0,1.0,0.0,0.0,2.7,2.7,8.8,8.8,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3376.0,3376.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0
499,0.0,False,2023-08-20T13:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,-11068.0,157958.0,2488.0,13556.0,Mason Holgate,40.0,DEF,Everton,2,0.0,Wolves,17,13,2.808988764044944,7,0.0,0.0,16.0,506.0,9.0,71.9,90.4,55.0,2.0,81.0,21.5,2.0,1.0,1.0,0.1,42.0,0.0,4.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163916.0,163916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0
500,0.0,False,2023-08-20T13:00:00Z,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.4,0.5,9.0,2.4,45,-5671.0,183289.0,5814.0,11485.0,James Tarkowski,45.0,DEF,Everton,2,0.0,Wolves,17,13,3.1601123595505616,0,1.0,1.0,106.0,3420.0,57.0,184.7,1019.6,435.0,13.0,632.0,164.2,9.0,0.0,6.0,4.4,41.0,0.0,4.0,,2023-24,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.3,0.3,1.0,1.0,0.0,0.0,1.9,1.9,10.4,10.4,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179311.0,179311.0,8.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0
501,2.0,True,2023-08-19T14:00:00Z,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.6,2.5,9.0,2.4,50,264.0,4201.0,726.0,462.0,Mario Lemina,50.0,MID,Wolves,2,0.0,Everton,13,17,3.5335689045936394,4,0.0,1.0,35.0,1297.0,28.0,65.0,200.4,36.0,0.0,196.0,30.1,5.0,1.0,2.0,0.0,45.0,1.0,4.0,,2023-24,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,3.3,3.3,1.0,1.0,0.0,0.0,2.3,2.3,10.4,10.4,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,2776.0,9.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0
502,2.0,False,2023-08-18T18:45:00Z,81.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,3.6,1.1,19.0,2.4,55,643.0,7805.0,1756.0,1113.0,Bénie Traoré,55.0,FWD,Sheffield Utd,2,0.0,Man City,20,1,4.119850187265918,0,,,,,,,,,,,,,,,,,1.0,2.0,,2023-24,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.0,5860.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,0.0,3.0,0.0,3.0
503,0.0,False,2023-08-18T18:45:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-366.0,1753.0,102.0,468.0,Jayden Bogle,45.0,DEF,Sheffield Utd,2,0.0,Man City,20,1,3.3707865168539324,0,,,,,,,,,,,,,,,,,1.0,2.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2053.0,2053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,0.0,3.0,0.0,3.0
504,0.0,False,2023-08-20T13:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-251.0,2860.0,147.0,398.0,Jean-Philippe Gbamin,45.0,MID,Everton,2,0.0,Wolves,17,13,3.1601123595505616,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,4.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2608.0,2608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0
505,0.0,True,2023-08-19T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-415.0,9137.0,687.0,1102.0,Joe Hodge,45.0,MID,Wolves,2,0.0,Everton,13,17,3.1802120141342756,8,,,,,,,,,,,,,,,,,1.0,4.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7722.0,7722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0
